seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4,tiny_shakespeare,validation,2048,5.504241645336151,245.73203296723213,7.940942125580974
42,medium,deepseekv4,tiny_shakespeare,validation,204800,2.5971925258636475,13.425991949062412,3.746956777297365
42,medium,deepseekv4,tiny_shakespeare,validation,409600,2.330614387989044,10.284258117091438,3.3623658197762607
42,medium,deepseekv4,tiny_shakespeare,validation,614400,2.1441139578819275,8.534475981046311,3.0933025741370646
42,medium,deepseekv4,tiny_shakespeare,validation,819200,2.0065916925668716,7.437923367156754,2.894899883955217
42,medium,deepseekv4,tiny_shakespeare,validation,1024000,1.9200234562158585,6.821118465041407,2.770008318673107
42,medium,deepseekv4,tiny_shakespeare,validation,1228800,1.8289110958576202,6.227102247975862,2.6385609682205886
42,medium,deepseekv4,tiny_shakespeare,validation,1433600,1.7519696801900864,5.7659485731247075,2.5275579693980608
42,medium,deepseekv4,tiny_shakespeare,validation,1638400,1.6915919482707977,5.428115109007008,2.44045131497798
42,medium,deepseekv4,tiny_shakespeare,validation,1843200,1.685843288898468,5.397000244278816,2.43215775260976
42,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.6110458821058273,5.008046315740785,2.324247904758663
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,2048,5.501474499702454,245.05299657472867,7.936949978297821
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,204800,2.586699962615967,13.285855361059896,3.7318192083337225
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,409600,2.321399509906769,10.189925232903354,3.3490715608645654
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,614400,2.145572692155838,8.546934598366546,3.09540708284001
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,819200,2.023790642619133,7.566954256917627,2.919712723904112
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1024000,1.965916559100151,7.1414551570883384,2.8362180706152826
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1228800,1.8939544558525085,6.645596506474018,2.7323987011279693
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1433600,1.84193754196167,6.308749894576592,2.657354157415308
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1638400,1.7847383618354797,5.958020897986121,2.5748331839043392
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1843200,1.777100756764412,5.912689220448146,2.5638144489440413
