seed,config,model,dataset,params,active_params,n_layer,n_embd,n_head,seq_len,steps,batch_size
42,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
42,medium,deepseekv4_attnres,tiny_shakespeare,12093756,4802876,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc,tiny_shakespeare,12147102,4856222,6,256,8,256,1000,8
42,medium,deepseekv4_mhc,tiny_shakespeare,12144024,4853144,6,256,8,256,1000,8
43,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
43,medium,deepseekv4_attnres,tiny_shakespeare,12093756,4802876,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc,tiny_shakespeare,12147102,4856222,6,256,8,256,1000,8
43,medium,deepseekv4_mhc,tiny_shakespeare,12144024,4853144,6,256,8,256,1000,8
44,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
44,medium,deepseekv4_attnres,tiny_shakespeare,12093756,4802876,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc,tiny_shakespeare,12147102,4856222,6,256,8,256,1000,8
44,medium,deepseekv4_mhc,tiny_shakespeare,12144024,4853144,6,256,8,256,1000,8
42,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
42,medium,deepseekv4_attnres,wikitext2,12093756,4802876,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc,wikitext2,12147102,4856222,6,256,8,256,1000,8
42,medium,deepseekv4_mhc,wikitext2,12144024,4853144,6,256,8,256,1000,8
43,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
43,medium,deepseekv4_attnres,wikitext2,12093756,4802876,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc,wikitext2,12147102,4856222,6,256,8,256,1000,8
43,medium,deepseekv4_mhc,wikitext2,12144024,4853144,6,256,8,256,1000,8
44,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
44,medium,deepseekv4_attnres,wikitext2,12093756,4802876,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc,wikitext2,12147102,4856222,6,256,8,256,1000,8
44,medium,deepseekv4_mhc,wikitext2,12144024,4853144,6,256,8,256,1000,8
