seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4,tiny_shakespeare,train_eval,2048000,1.5197978168725967,4.571300861798465,2.1926047735559684
42,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.602981612086296,4.9678224838885985,2.3126136223930955
42,medium,deepseekv4,tiny_shakespeare,test,2048000,1.7334952801465988,5.660404070115025,2.5009050440719225
42,medium,deepseekv4_attnres,tiny_shakespeare,train_eval,2048000,1.6203404664993286,5.054811017438619,2.337657155570291
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,2048000,1.6913661658763885,5.426889674526539,2.440125579837246
42,medium,deepseekv4_attnres,tiny_shakespeare,test,2048000,1.8252016007900238,6.204045633539265,2.633209298082365
42,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.4502904266119003,4.2643528168827824,2.092326806321728
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.5416698902845383,4.672386132267921,2.2241595054013357
42,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.6768383234739304,5.348618608099407,2.419166333648403
42,medium,deepseekv4_mhc,tiny_shakespeare,train_eval,2048000,1.4960727244615555,4.464122758931573,2.1583767003899266
42,medium,deepseekv4_mhc,tiny_shakespeare,validation,2048000,1.5827429741621017,4.868291110415219,2.283415439825513
42,medium,deepseekv4_mhc,tiny_shakespeare,test,2048000,1.7245018631219864,5.609725922220493,2.4879302859298678
43,medium,deepseekv4,tiny_shakespeare,train_eval,2048000,1.5027158111333847,4.493877034024235,2.16796064858757
43,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.5806827396154404,4.858271613687021,2.2804431496619766
43,medium,deepseekv4,tiny_shakespeare,test,2048000,1.6828556209802628,5.380899863066859,2.427847458920342
43,medium,deepseekv4_attnres,tiny_shakespeare,train_eval,2048000,1.5583055466413498,4.750764472336379,2.2481596843292406
43,medium,deepseekv4_attnres,tiny_shakespeare,validation,2048000,1.637322336435318,5.141384167156739,2.3621568151119643
43,medium,deepseekv4_attnres,tiny_shakespeare,test,2048000,1.7437787503004074,5.718912988177107,2.515740955465952
43,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.4753402173519135,4.372523128143222,2.128466015197651
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.562002718448639,4.768361374146758,2.253493575760931
43,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.6756838113069534,5.342447126050891,2.417500724670459
43,medium,deepseekv4_mhc,tiny_shakespeare,train_eval,2048000,1.493736058473587,4.453703772700685,2.155005603956871
43,medium,deepseekv4_mhc,tiny_shakespeare,validation,2048000,1.5798143446445465,4.854054546355502,2.279190320543935
43,medium,deepseekv4_mhc,tiny_shakespeare,test,2048000,1.6745010167360306,5.336131844171574,2.4157943128085986
44,medium,deepseekv4,tiny_shakespeare,train_eval,2048000,1.4781692922115326,4.384910838015184,2.132547507467927
44,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.6111408025026321,5.008521704045958,2.324384845944412
44,medium,deepseekv4,tiny_shakespeare,test,2048000,1.667559951543808,5.299221651383425,2.405780472477292
44,medium,deepseekv4_attnres,tiny_shakespeare,train_eval,2048000,1.5143293142318726,4.5463709178228795,2.184715391915107
44,medium,deepseekv4_attnres,tiny_shakespeare,validation,2048000,1.6401667296886444,5.1560291037000825,2.3662604071528763
44,medium,deepseekv4_attnres,tiny_shakespeare,test,2048000,1.7142087817192078,5.552280707969668,2.4730805084346126
44,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.459125578403473,4.302195950056724,2.105073235996931
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.5889166742563248,4.898439447340031,2.2923222063353843
44,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.6686989516019821,5.305260903854182,2.407423702212792
44,medium,deepseekv4_mhc,tiny_shakespeare,train_eval,2048000,1.4686769247055054,4.343484580548802,2.1188529159406864
44,medium,deepseekv4_mhc,tiny_shakespeare,validation,2048000,1.6033469885587692,4.969637940986092,2.31314074921799
44,medium,deepseekv4_mhc,tiny_shakespeare,test,2048000,1.6741904616355896,5.334474938504311,2.4153462765052693
42,medium,deepseekv4,wikitext2,train_eval,2048000,1.4957630932331085,4.462740741086771,2.157929996952142
