config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4,tiny_shakespeare,test,2048000,3,1.6946369508902233,0.03451038525321034,5.4468418615217695,0.1894055048576275,2.444844325156519,0.049787961663974166
medium,deepseekv4,tiny_shakespeare,train_eval,2048000,3,1.5002276400725048,0.020925505078381194,4.483362911279294,0.09363877575184763,2.164370976537155,0.030189122404677485
medium,deepseekv4,tiny_shakespeare,validation,2048000,3,1.5982683847347896,0.015766555830626874,4.944871933873859,0.07770983350066749,2.3058138726664947,0.022746331908744255
medium,deepseekv4,wikitext2,test,2048000,3,1.7184673150380452,0.016951583069481534,5.576510944664515,0.09482872251565044,2.4792242733351597,0.02445596482955816
medium,deepseekv4,wikitext2,train_eval,2048000,3,1.503075897693634,0.054223250655930894,4.499918236790084,0.24521918115795674,2.168480143682333,0.07822761482219077
medium,deepseekv4,wikitext2,validation,2048000,3,1.7139267772436142,0.0318619336207661,5.5526021514555906,0.17809061412537028,2.4726736619761653,0.04596705362781272
medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,3,1.673740362127622,0.00440398565528416,5.332108879334826,0.023454895826367603,2.4146969201772177,0.006353608265024564
medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,3,1.4615854074557622,0.012704765769366895,4.313023965027576,0.054892062182995686,2.108622019172103,0.01832910257112145
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,3,1.5641964276631672,0.0236996607361286,4.779728984584903,0.1134545822744839,2.2566584291658836,0.034191383014763654
medium,deepseekv4_attnmhc,wikitext2,test,2048000,3,1.6853192448616028,0.031626775446851836,5.395970885918868,0.17056528542201937,2.4314017168765667,0.04562779209648202
medium,deepseekv4_attnmhc,wikitext2,train_eval,2048000,3,1.4527831027905147,0.03882921702743376,4.277130699829246,0.16444224793802262,2.095922977883157,0.05601871884708001
medium,deepseekv4_attnmhc,wikitext2,validation,2048000,3,1.6828218946854274,0.04027570797201953,5.383608671187236,0.2145929990138186,2.4277988021620356,0.05810556415952467
medium,deepseekv4_attnres,tiny_shakespeare,test,2048000,3,1.7610630442698796,0.057479662358429676,5.8250797765620135,0.3386043705678646,2.5406769206609763,0.08292562383647856
medium,deepseekv4_attnres,tiny_shakespeare,train_eval,2048000,3,1.5643251091241837,0.053261312888737485,4.783982135865959,0.25584251718994866,2.256844077271546,0.07683983197581705
medium,deepseekv4_attnres,tiny_shakespeare,validation,2048000,3,1.6562850773334503,0.030414383493061244,5.241434315127787,0.16077588839399976,2.389514267367362,0.04387868023713468
medium,deepseekv4_attnres,wikitext2,test,2048000,3,1.7484526485204697,0.014375617742771274,5.746099894213497,0.08226266410775936,2.5224839652496556,0.02073963242721168
medium,deepseekv4_attnres,wikitext2,train_eval,2048000,3,1.5601924459139507,0.015351407366369939,4.760110910471565,0.07302882054918457,2.250881904552479,0.02214739927812833
medium,deepseekv4_attnres,wikitext2,validation,2048000,3,1.753105714917183,0.010842883639288108,5.772728379098921,0.06240218413068382,2.5291969210651204,0.01564297445533697
medium,deepseekv4_mhc,tiny_shakespeare,test,2048000,3,1.6910644471645355,0.02895806796993361,5.426777568298792,0.1584400880020341,2.4396902917479117,0.04177766105394876
medium,deepseekv4_mhc,tiny_shakespeare,train_eval,2048000,3,1.4861619025468826,0.015187440191484622,4.420437037393687,0.066846086492537,2.1440784067624947,0.021910844648052437
medium,deepseekv4_mhc,tiny_shakespeare,validation,2048000,3,1.588634769121806,0.012825025079265797,4.897327865918938,0.06302563094662157,2.291915503195813,0.01850260008113331
medium,deepseekv4_mhc,wikitext2,test,2048000,3,1.6935941725969315,0.02982756185177887,5.440613022574497,0.16310585994875637,2.4433399140840404,0.04303207556537017
medium,deepseekv4_mhc,wikitext2,train_eval,2048000,3,1.4732137471437454,0.040439956453943486,4.365601437524467,0.17512565636782926,2.125398167173729,0.05834252462986988
medium,deepseekv4_mhc,wikitext2,validation,2048000,3,1.6944883614778519,0.03823610965468194,5.446493980598156,0.20593367067567395,2.4446299559481623,0.05516304578169633
