seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048,5.510624170303345,247.30543961522247,7.950150162699495
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,204800,2.327838897705078,10.255753833588804,3.3583616337075473
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,409600,2.0278321653604507,7.597598156927653,2.925543408720651
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,614400,1.8480277359485626,6.347288640349985,2.66614045007825
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,819200,1.730116680264473,5.641312099816383,2.4960307547768315
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1024000,1.6796664744615555,5.363766719574781,2.423246493053135
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1228800,1.6299175471067429,5.103453906648178,2.3514739622688015
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1433600,1.5810829401016235,4.860216285452167,2.2810205169187543
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1638400,1.539800450205803,4.663659545825633,2.2214624734705053
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1843200,1.574311301112175,4.827415837092813,2.2712511069299866
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.5073521733283997,4.514760650208867,2.1746495053340835
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048,5.507641673088074,246.56895066431142,7.945847328757558
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,204800,2.590968996286392,13.34269436241942,3.7379781220394332
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,409600,2.313562959432602,10.110383443177508,3.337765808357809
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,614400,2.0717811584472656,7.938951061807187,2.988948403099062
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,819200,1.9144966304302216,6.783523318233111,2.762034794520311
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1024000,1.8395105302333832,6.293457050054863,2.6538527196307298
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1228800,1.7654229700565338,5.844043690889584,2.5469669639720265
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1433600,1.683124765753746,5.382348299052385,2.4282357527503278
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1638400,1.6533721536397934,5.224568201840155,2.3853118068000354
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1843200,1.6343015432357788,5.125876543283244,2.357798731743438
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,1.568569839000702,4.799778826312672,2.2629679280143127
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048,5.507404148578644,246.51039145016387,7.945504653325713
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,204800,2.381313145160675,10.819100589635841,3.4355086653270064
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,409600,2.065138652920723,7.8863912930386615,2.9793652933168415
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,614400,1.9007532894611359,6.690932753516036,2.742207344658965
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,819200,1.7760582268238068,5.906528276948378,2.5623103961687517
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1024000,1.735647439956665,5.672599282579392,2.5040099543571057
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1228800,1.6784206926822662,5.357088797207844,2.4214492098581246
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1433600,1.608669325709343,4.996158542811816,2.3208192586310616
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1638400,1.5777400881052017,4.8439964271364575,2.2761978009210906
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1843200,1.5961240828037262,4.933872036872222,2.302720298904381
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,1.5455981492996216,4.6907765727719,2.2298267852017237
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048,5.507662296295166,246.57403575927881,7.945877081756157
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,204800,2.3295243084430695,10.273053565708121,3.3607931674211082
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,409600,2.0113648623228073,7.473510702650632,2.901786112291427
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,614400,1.854520246386528,6.38863254573924,2.6755071626900224
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,819200,1.7834764122962952,5.950506918388179,2.5730125755623052
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1024000,1.7042789310216904,5.497420218521987,2.4587547620765364
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1228800,1.674752727150917,5.337475173189819,2.4161574541758952
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1433600,1.640533298254013,5.157919488348251,2.3667892538042796
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1638400,1.5867215543985367,4.887698578696978,2.2891553178023964
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1843200,1.5565660744905472,4.742507833020689,2.245650156483513
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.48296520113945,4.405990979866703,2.1394665414947887
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048,5.5080689787864685,246.6743334957162,7.946463800569576
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,204800,2.5881414115428925,13.305020052156769,3.733898779552293
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,409600,2.26948943734169,9.674460134832849,3.27418115660274
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,614400,2.053611934185028,7.796008985204786,2.9627357533591323
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,819200,1.9453249722719193,6.995904960794033,2.806510690414158
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1024000,1.8338579088449478,6.257982875621325,2.645697710785611
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1228800,1.7662880569696426,5.849101484006098,2.5482150205715066
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1433600,1.729228362441063,5.63630304687559,2.4947491830582647
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1638400,1.6541659086942673,5.228716875555353,2.3864569532808053
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1843200,1.6046133488416672,4.975935279603126,2.3149677209181054
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,1.511174276471138,4.5320495500108455,2.180163634583878
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048,5.508459746837616,246.77074478028248,7.947027559699103
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,204800,2.3706947565078735,10.704826949359695,3.420189568675378
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,409600,2.047580972313881,7.749133047846175,2.954034914575838
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,614400,1.883036196231842,6.573432826254987,2.7166469821180956
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,819200,1.8253401070833206,6.204904992415344,2.633409120424836
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1024000,1.7338629812002182,5.662485789357242,2.501435524558509
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1228800,1.7096186876296997,5.526853618119664,2.4664584024544656
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1433600,1.6588608473539352,5.25332309770825,2.393230318002386
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1638400,1.596472591161728,4.935591832178495,2.3032230901841784
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1843200,1.5669983327388763,4.792241867571799,2.2607007237236507
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,1.4811181426048279,4.3978603677936325,2.136801799306658
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048,5.508854985237122,246.86829733148144,7.947597768178039
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,204800,2.3487547636032104,10.472520837825872,3.3885368497146815
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,409600,1.997393175959587,7.369819214336347,2.881629229662353
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,614400,1.831717774271965,6.244604271225339,2.6426101492503338
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,819200,1.7649221569299698,5.841117649858009,2.5462444433579203
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1024000,1.7027837634086609,5.489206795608116,2.4565976911759213
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1228800,1.6123170256614685,5.014416309271781,2.3260817772626443
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1433600,1.5679046958684921,4.796587347902861,2.262008329315992
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1638400,1.6129199862480164,5.017440716378327,2.3269516655107085
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1843200,1.5223556905984879,4.583008639290831,2.1962950052955317
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.5322296470403671,4.6284852143508965,2.2105401132881846
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048,5.504430294036865,245.77839436884682,7.941214288125964
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,204800,2.6228115260601044,13.774396269046566,3.783917181833327
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,409600,2.2993036806583405,9.967239656137219,3.3171940175835286
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,614400,2.059205323457718,7.839737278909983,2.9708053083246035
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,819200,1.9281882643699646,6.877039570593735,2.7817876469068454
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1024000,1.8376968055963516,6.282052797164578,2.651236068091346
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1228800,1.7374301850795746,5.682721100915019,2.506581911905096
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1433600,1.6724679619073868,5.325294216038546,2.412861234689459
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1638400,1.6813582926988602,5.372848918480185,2.42568727083418
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1843200,1.5882850587368011,4.8953464938451825,2.2914109777576193
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,1.589329406619072,4.900461609104,2.292917653268334
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048,5.507571637630463,246.55168269971094,7.9457462889501755
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,204800,2.391114979982376,10.925669056568859,3.449649723815887
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,409600,2.0251490026712418,7.5772398895110324,2.9216724232150306
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,614400,1.867534652352333,6.472320194562597,2.6942829816370053
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,819200,1.7805854976177216,5.933329351995567,2.5688418672918942
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1024000,1.7160479128360748,5.562501475974617,2.4757338137764613
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1228800,1.6175788193941116,5.040870671243145,2.3336729409869092
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1433600,1.5891111344099045,4.899392091249899,2.292602753034604
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1638400,1.6201357394456863,5.05377626679664,2.3373617968652654
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1843200,1.5388694256544113,4.6593195849077125,2.2201192889672665
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,1.539564535021782,4.6625594474957195,2.2211221198044475
