seed,config,model,dataset,params,active_params,n_layer,n_embd,n_head,seq_len,steps,batch_size
42,medium,deepseekv4_attnmhc,tiny_shakespeare,12520942,5230062,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,12147102,4856222,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,13439478,6148598,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc,tiny_shakespeare,12520942,5230062,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,12147102,4856222,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,13439478,6148598,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc,tiny_shakespeare,12520942,5230062,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,12147102,4856222,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,13439478,6148598,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc,wikitext2,12520942,5230062,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc_2h,wikitext2,12147102,4856222,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc_dnd,wikitext2,13439478,6148598,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc,wikitext2,12520942,5230062,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc_2h,wikitext2,12147102,4856222,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc_dnd,wikitext2,13439478,6148598,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc,wikitext2,12520942,5230062,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc_2h,wikitext2,12147102,4856222,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc_dnd,wikitext2,13439478,6148598,6,256,8,256,1000,8
