seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.3846148699522018,3.9932876735535188,1.9975770064211587
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.496385708451271,4.465520176556509,2.158828240839767
42,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.658877208828926,5.253409050525887,2.3932539226212173
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,train_eval,2048000,1.4737460613250732,4.3655581971144,2.1261661342033253
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,1.5573818981647491,4.746378461846589,2.2468271412525245
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,test,2048000,1.702511802315712,5.48771414790881,2.456205334255809
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,train_eval,2048000,1.4123809337615967,4.1057192214675,2.037634968983979
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,1.5255171805620193,4.597520702891078,2.2008560711877387
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,test,2048000,1.6849674433469772,5.392275375053355,2.4308941745760397
43,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.3927327543497086,4.025836656947541,2.0092886379839516
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.5183565318584442,4.564717060078262,2.190525438813543
43,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.63528972864151,5.130944363235356,2.359224381927765
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,train_eval,2048000,1.4558493942022324,4.288124227019288,2.1003467012967625
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,1.5426001250743866,4.676734570620508,2.225501550519512
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,test,2048000,1.6423175185918808,5.167130568054741,2.3693633396375744
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,train_eval,2048000,1.4063944965600967,4.081214013808171,2.0289983657207817
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,1.5223137885332108,4.582816605786991,2.1962345533937535
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,test,2048000,1.6499406099319458,5.2066705934763515,2.38036113571013
44,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.37897227704525,3.9708186283046714,1.989436465616544
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.5253265053033829,4.596644153012811,2.200580984937684
44,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.6283541917800903,5.0954816281746425,2.3492185172918925
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,train_eval,2048000,1.447441354393959,4.2522206586487945,2.0882164639617695
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,1.5866630375385284,4.887412574291607,2.289070895818654
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,test,2048000,1.6699024885892868,5.3116498254598055,2.409160039055903
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,train_eval,2048000,1.3897553086280823,4.013867774009188,2.004993091806845
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,1.5453447699546814,4.689588177440403,2.2294612360773147
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,test,2048000,1.6295049339532852,5.1013485888090155,2.3508786873185024
42,medium,deepseekv4_attnmhc,wikitext2,train_eval,2048000,1.2731129974126816,3.5719547587576925,1.8367138078585594
