config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,3,1.6408403764168422,0.016000653439320195,5.1599450139786285,0.08286160745651179,2.3672322739469585,0.0230840633678903
medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,3,1.38543996711572,0.006917244603782968,3.9966476529352435,0.02766248298727199,1.998767370007218,0.009979474486493679
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,3,1.5133562485376995,0.015104454825467569,4.5422937965491945,0.06837745506304511,2.1833115548636646,0.021791122072033525
medium,deepseekv4_attnmhc,wikitext2,test,2048000,3,1.6753189067045848,0.01732319809275753,5.3410307411166045,0.09213344045914373,2.4169742786102244,0.024992091980758455
medium,deepseekv4_attnmhc,wikitext2,train_eval,2048000,3,1.3009555240472157,0.032714492949077245,3.674119848434025,0.12087048510771055,1.876882082960021,0.04719703674283077
medium,deepseekv4_attnmhc,wikitext2,validation,2048000,3,1.6708702246348064,0.039331270537219146,5.31951765328958,0.20724204635386367,2.4105561870496635,0.05674302895590846
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,test,2048000,3,1.6715772698322933,0.03013206958400329,5.322164847141119,0.16055024814285215,2.411576237649762,0.04347138736056278
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,train_eval,2048000,3,1.4590122699737549,0.013434553920488576,4.301967694260828,0.05792305754456826,2.104909766487286,0.019381964317644145
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,3,1.5622150202592213,0.02242552932687908,4.770175202252902,0.10733600955962502,2.2537998625302302,0.03235319994919842
medium,deepseekv4_attnmhc_2h,wikitext2,test,2048000,3,1.677227223912875,0.021602712337188152,5.351528457878021,0.11497067507727486,2.4197273983830674,0.03116612595861227
medium,deepseekv4_attnmhc_2h,wikitext2,train_eval,2048000,3,1.4402019480864208,0.04476243369682331,4.224389838811623,0.1912014694097493,2.0777722083829033,0.06457854111252798
medium,deepseekv4_attnmhc_2h,wikitext2,validation,2048000,3,1.6797322481870651,0.03768727281311156,5.366663815065639,0.20274127577871048,2.4233413844807483,0.05437124159210553
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,test,2048000,3,1.6548043290774028,0.02804931924317874,5.233431519112908,0.14729802814127851,2.3873779992015574,0.04046661377244551
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,train_eval,2048000,3,1.4028435796499252,0.011723330855511421,4.06693366976162,0.04756173114608719,2.0238754755038686,0.016913191287946903
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,3,1.5310585796833038,0.01247545007104196,4.623308495372824,0.05786881551532016,2.2088506202196023,0.01799826995034995
medium,deepseekv4_attnmhc_dnd,wikitext2,test,2048000,3,1.6659208784500759,0.022731768269124524,5.291450274989476,0.11948485696982741,2.40341578985331,0.032795009352502895
medium,deepseekv4_attnmhc_dnd,wikitext2,train_eval,2048000,3,1.3307841370503108,0.033685427814012736,3.785431522740734,0.1262519515269358,1.919915675016182,0.04859779965749939
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,2048000,3,1.6628603289524715,0.03516312718490175,5.276543428030856,0.1846955203704067,2.399000350270721,0.05072966921180573
