config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048,3,5.5067136486371355,0.0019889516617813538,246.3405595096248,0.4896923722278934,7.944508472484365,0.002869450699019922
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,204800,3,2.6006406446297965,0.019252527013823434,13.474036894540918,0.2608000264637822,3.7519313611416845,0.02777552524742379
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,409600,3,2.2941186924775443,0.022489595687801327,9.917361078049192,0.22220078105983496,3.3097136608480255,0.03244562817038878
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,614400,3,2.061532805363337,0.009305539027300318,7.8582324419739855,0.07324385713781555,2.974163154927599,0.013425055007484858
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,819200,3,1.9293366223573685,0.015446219917104893,6.885489283206959,0.10644265478018396,2.783444377280438,0.022284184874887532
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1024000,3,1.8370217482248943,0.0028861408457174233,6.2778309076135885,0.018110011774453094,2.6502621661692287,0.004163821085423662
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1228800,3,1.7563804040352504,0.01641707016165941,5.791955425270234,0.09463349581838094,2.53392129881621,0.023684825708152394
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1433600,3,1.6949403633673985,0.030168560247576446,5.44798185398884,0.1655670434140016,2.4452820568326836,0.04352403225993841
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1638400,3,1.6629654516776402,0.015933611090883558,5.275377998625231,0.08443777612198768,2.399152010305007,0.022987341704271087
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1843200,3,1.6090666502714157,0.02332923341280877,4.999052772243851,0.1169907678963355,2.3213924768063876,0.03365696935240032
medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,3,1.5563578406969707,0.040483401154521044,4.744096661809173,0.19041333699129534,2.245349738622175,0.058405202083946145
medium,deepseekv4_attnmhc_2h,wikitext2,validation,2048,3,5.50607971350352,0.0013397755029165746,246.18426781370636,0.3297049306739618,7.943593897410852,0.0019328874739619577
medium,deepseekv4_attnmhc_2h,wikitext2,validation,204800,3,2.6152433156967163,0.009318800102015167,13.670937744786327,0.1272960156216441,3.772998562273662,0.013444186694212787
medium,deepseekv4_attnmhc_2h,wikitext2,validation,409600,3,2.3266226947307587,0.004543412246871478,10.243358766718002,0.046486977222137744,3.3566070237077823,0.006554758317275835
medium,deepseekv4_attnmhc_2h,wikitext2,validation,614400,3,2.1600059270858765,0.04095528283117838,8.67599968625503,0.35103175251995816,3.116229839297562,0.05908598343874587
medium,deepseekv4_attnmhc_2h,wikitext2,validation,819200,3,2.0210414280494056,0.006789305860639614,7.5462957244646605,0.05132106198516607,2.915746445678026,0.009794897896223165
medium,deepseekv4_attnmhc_2h,wikitext2,validation,1024000,3,1.901128739118576,0.013249551892465215,6.693837159833955,0.08873628018468305,2.7427490040178575,0.01911506280926058
medium,deepseekv4_attnmhc_2h,wikitext2,validation,1228800,3,1.8203817456960678,0.018781309425673152,6.174943144589899,0.11649047073242924,2.626255717040511,0.027095701969819783
medium,deepseekv4_attnmhc_2h,wikitext2,validation,1433600,3,1.7628035147984822,0.03650739556406512,5.831334992591497,0.21157718563791136,2.543187888861405,0.05266903853604846
medium,deepseekv4_attnmhc_2h,wikitext2,validation,1638400,3,1.725454603632291,0.0431159591137313,5.618532128591947,0.23999753048139796,2.4893047999393385,0.062203180396551434
medium,deepseekv4_attnmhc_2h,wikitext2,validation,1843200,3,1.6985252698262532,0.012919912086141036,5.4661841325924,0.07036062296000839,2.4504539836029244,0.018639493095396913
medium,deepseekv4_attnmhc_2h,wikitext2,validation,2048000,3,1.6594708512226741,0.04600108194297349,5.260210678766039,0.23931832300975578,2.3941103675587385,0.0663655327946547
medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,2048,3,5.504697660605113,0.0012772653674242127,245.84424978167075,0.3140465487053427,7.941600016548075,0.0018427044114822898
medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,204800,3,2.599412520726522,0.028798418476456204,13.45953852757117,0.38564996296722226,3.750159552876833,0.04154733552142838
medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,409600,3,2.280632823705673,0.026581032308467006,9.785185211364386,0.2620604083530605,3.2902576648487685,0.03834832349313462
