seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,2048,5.5060495138168335,246.17668598030295,7.943550328472634
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,204800,2.6064313352108,13.550606889433519,3.7602855617262207
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,409600,2.3113181591033936,10.087713105806131,3.334527246055074
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,614400,2.0920915603637695,8.101842948977836,3.018250119222464
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,819200,1.9295214712619781,6.886214201627617,2.7837110578784325
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,1024000,1.8555389195680618,6.395143790232273,2.676976797437308
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,1228800,1.7775681763887405,5.915453573428426,2.564488792918074
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,1433600,1.6917754411697388,5.429111220971086,2.4407160392733203
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,1638400,1.6499469727277756,5.206703722563688,2.38037031528412
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,1843200,1.6553165912628174,5.234736931842606,2.38811703731609
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,2048000,1.5831029266119003,4.870043779146524,2.2839347414397935
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048,5.507641673088074,246.56895066431142,7.945847328757558
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,204800,2.590968996286392,13.34269436241942,3.7379781220394332
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,409600,2.313562959432602,10.110383443177508,3.337765808357809
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,614400,2.0717811584472656,7.938951061807187,2.988948403099062
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,819200,1.9144966304302216,6.783523318233111,2.762034794520311
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1024000,1.8395105302333832,6.293457050054863,2.6538527196307298
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1228800,1.7654229700565338,5.844043690889584,2.5469669639720265
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1433600,1.683124765753746,5.382348299052385,2.4282357527503278
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1638400,1.6533721536397934,5.224568201840155,2.3853118068000354
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,1843200,1.6343015432357788,5.125876543283244,2.357798731743438
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,1.568569839000702,4.799778826312672,2.2629679280143127
43,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,2048,5.503511071205139,245.55257306314908,7.939888129905161
43,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,204800,2.567753493785858,13.036504930696868,3.7044852317101675
