seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,train_eval,2048000,1.4783564507961273,4.385731588524057,2.1328175202297817
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,2048000,1.5724139213562012,4.818265079985754,2.26851376656536
42,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,test,2048000,1.6928756535053253,5.435087683193541,2.442303310153796
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,train_eval,2048000,1.4737460613250732,4.3655581971144,2.1261661342033253
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,1.5573818981647491,4.746378461846589,2.2468271412525245
42,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,test,2048000,1.702511802315712,5.48771414790881,2.456205334255809
43,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,train_eval,2048000,1.460070714354515,4.306264032260093,2.106436778946465
43,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,2048000,1.560256451368332,4.7600418078586175,2.250974244904105
43,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,test,2048000,1.6715876758098602,5.320608496264497,2.411591250301994
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,train_eval,2048000,1.4558493942022324,4.288124227019288,2.1003467012967625
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,1.5426001250743866,4.676734570620508,2.225501550519512
43,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,test,2048000,1.6423175185918808,5.167130568054741,2.3693633396375744
44,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,train_eval,2048000,1.5350156724452972,4.641398271444453,2.214559498323668
44,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,validation,2048000,1.659445658326149,5.2563961971999404,2.3940740218918566
44,medium,deepseekv4_attnmhc_ch,tiny_shakespeare,test,2048000,1.716424122452736,5.564594536212579,2.476276569524753
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,train_eval,2048000,1.447441354393959,4.2522206586487945,2.0882164639617695
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,validation,2048000,1.5866630375385284,4.887412574291607,2.289070895818654
44,medium,deepseekv4_attnmhc_2h,tiny_shakespeare,test,2048000,1.6699024885892868,5.3116498254598055,2.409160039055903
42,medium,deepseekv4_attnmhc_ch,wikitext2,train_eval,2048000,1.4293576031923294,4.1760156709370815,2.0621271257825087
42,medium,deepseekv4_attnmhc_ch,wikitext2,validation,2048000,1.6550666838884354,5.233428895931106,2.3877564971863876
42,medium,deepseekv4_attnmhc_ch,wikitext2,test,2048000,1.6676681190729141,5.299794886097773,2.4059365252351186
42,medium,deepseekv4_attnmhc_2h,wikitext2,train_eval,2048000,1.4075785428285599,4.0860492220222415,2.0307065834004767
42,medium,deepseekv4_attnmhc_2h,wikitext2,validation,2048000,1.643905222415924,5.175340957125304,2.371653912070922
42,medium,deepseekv4_attnmhc_2h,wikitext2,test,2048000,1.6526448428630829,5.220769698596914,2.38426251914929
43,medium,deepseekv4_attnmhc_ch,wikitext2,train_eval,2048000,1.4234610944986343,4.15146421330546,2.053620261931556
43,medium,deepseekv4_attnmhc_ch,wikitext2,validation,2048000,1.6713627874851227,5.319412088067348,2.411266805031141
43,medium,deepseekv4_attnmhc_ch,wikitext2,test,2048000,1.6778132319450378,5.353835564303362,2.4205728292649904
43,medium,deepseekv4_attnmhc_2h,wikitext2,train_eval,2048000,1.421793907880783,4.1445487140402735,2.0512150200657455
43,medium,deepseekv4_attnmhc_2h,wikitext2,validation,2048000,1.6762530356645584,5.345489042768665,2.4183219418283293
43,medium,deepseekv4_attnmhc_2h,wikitext2,test,2048000,1.6858500242233276,5.397036594951145,2.4321674696295337
44,medium,deepseekv4_attnmhc_ch,wikitext2,train_eval,2048000,1.4442911446094513,4.238846348525692,2.0836716719279003
44,medium,deepseekv4_attnmhc_ch,wikitext2,validation,2048000,1.7018921077251434,5.4843144946189355,2.45531130394313
44,medium,deepseekv4_attnmhc_ch,wikitext2,test,2048000,1.6679675877094269,5.301382246116518,2.4063685671519175
44,medium,deepseekv4_attnmhc_2h,wikitext2,train_eval,2048000,1.4912333935499191,4.442571580372355,2.151395021682488
44,medium,deepseekv4_attnmhc_2h,wikitext2,validation,2048000,1.719038486480713,5.579161445302947,2.480048299542994
44,medium,deepseekv4_attnmhc_2h,wikitext2,test,2048000,1.693186804652214,5.436779080086002,2.4427522063703795
