seed,config,model,dataset,tokens_trained,layer,expert,count
42,medium,deepseekv4,tiny_shakespeare,2048,0,0,369
42,medium,deepseekv4,tiny_shakespeare,2048,0,1,230
42,medium,deepseekv4,tiny_shakespeare,2048,0,2,393
42,medium,deepseekv4,tiny_shakespeare,2048,0,3,876
42,medium,deepseekv4,tiny_shakespeare,2048,0,4,417
42,medium,deepseekv4,tiny_shakespeare,2048,0,5,684
42,medium,deepseekv4,tiny_shakespeare,2048,0,6,277
42,medium,deepseekv4,tiny_shakespeare,2048,0,7,850
42,medium,deepseekv4,tiny_shakespeare,2048,1,0,395
42,medium,deepseekv4,tiny_shakespeare,2048,1,1,404
42,medium,deepseekv4,tiny_shakespeare,2048,1,2,918
42,medium,deepseekv4,tiny_shakespeare,2048,1,3,496
42,medium,deepseekv4,tiny_shakespeare,2048,1,4,652
42,medium,deepseekv4,tiny_shakespeare,2048,1,5,310
42,medium,deepseekv4,tiny_shakespeare,2048,1,6,524
42,medium,deepseekv4,tiny_shakespeare,2048,1,7,397
42,medium,deepseekv4,tiny_shakespeare,2048,2,0,760
42,medium,deepseekv4,tiny_shakespeare,2048,2,1,183
42,medium,deepseekv4,tiny_shakespeare,2048,2,2,863
42,medium,deepseekv4,tiny_shakespeare,2048,2,3,477
42,medium,deepseekv4,tiny_shakespeare,2048,2,4,643
42,medium,deepseekv4,tiny_shakespeare,2048,2,5,356
42,medium,deepseekv4,tiny_shakespeare,2048,2,6,235
42,medium,deepseekv4,tiny_shakespeare,2048,2,7,579
42,medium,deepseekv4,tiny_shakespeare,2048,3,0,388
42,medium,deepseekv4,tiny_shakespeare,2048,3,1,363
42,medium,deepseekv4,tiny_shakespeare,2048,3,2,442
42,medium,deepseekv4,tiny_shakespeare,2048,3,3,334
42,medium,deepseekv4,tiny_shakespeare,2048,3,4,331
42,medium,deepseekv4,tiny_shakespeare,2048,3,5,468
42,medium,deepseekv4,tiny_shakespeare,2048,3,6,915
42,medium,deepseekv4,tiny_shakespeare,2048,3,7,855
42,medium,deepseekv4,tiny_shakespeare,2048,4,0,406
42,medium,deepseekv4,tiny_shakespeare,2048,4,1,753
42,medium,deepseekv4,tiny_shakespeare,2048,4,2,713
42,medium,deepseekv4,tiny_shakespeare,2048,4,3,811
42,medium,deepseekv4,tiny_shakespeare,2048,4,4,349
42,medium,deepseekv4,tiny_shakespeare,2048,4,5,138
42,medium,deepseekv4,tiny_shakespeare,2048,4,6,685
42,medium,deepseekv4,tiny_shakespeare,2048,4,7,241
42,medium,deepseekv4,tiny_shakespeare,2048,5,0,364
42,medium,deepseekv4,tiny_shakespeare,2048,5,1,382
42,medium,deepseekv4,tiny_shakespeare,2048,5,2,734
42,medium,deepseekv4,tiny_shakespeare,2048,5,3,616
42,medium,deepseekv4,tiny_shakespeare,2048,5,4,618
42,medium,deepseekv4,tiny_shakespeare,2048,5,5,431
42,medium,deepseekv4,tiny_shakespeare,2048,5,6,562
42,medium,deepseekv4,tiny_shakespeare,2048,5,7,389
42,medium,deepseekv4,tiny_shakespeare,204800,0,0,331
42,medium,deepseekv4,tiny_shakespeare,204800,0,1,241
42,medium,deepseekv4,tiny_shakespeare,204800,0,2,383
42,medium,deepseekv4,tiny_shakespeare,204800,0,3,871
42,medium,deepseekv4,tiny_shakespeare,204800,0,4,402
42,medium,deepseekv4,tiny_shakespeare,204800,0,5,695
42,medium,deepseekv4,tiny_shakespeare,204800,0,6,288
42,medium,deepseekv4,tiny_shakespeare,204800,0,7,885
42,medium,deepseekv4,tiny_shakespeare,204800,1,0,359
42,medium,deepseekv4,tiny_shakespeare,204800,1,1,419
42,medium,deepseekv4,tiny_shakespeare,204800,1,2,1001
42,medium,deepseekv4,tiny_shakespeare,204800,1,3,513
42,medium,deepseekv4,tiny_shakespeare,204800,1,4,648
42,medium,deepseekv4,tiny_shakespeare,204800,1,5,305
42,medium,deepseekv4,tiny_shakespeare,204800,1,6,482
42,medium,deepseekv4,tiny_shakespeare,204800,1,7,369
