seed,config,model,dataset,params,active_params,n_layer,n_embd,n_head,seq_len,steps,batch_size
42,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
42,medium,deepseekv4_attnres,tiny_shakespeare,12467596,5176716,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc,tiny_shakespeare,12520942,5230062,6,256,8,256,1000,8
42,medium,deepseekv4_mhc,tiny_shakespeare,12144024,4853144,6,256,8,256,1000,8
42,medium,deepseekv4_dn,tiny_shakespeare,12517864,5226984,6,256,8,256,1000,8
43,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
43,medium,deepseekv4_attnres,tiny_shakespeare,12467596,5176716,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc,tiny_shakespeare,12520942,5230062,6,256,8,256,1000,8
43,medium,deepseekv4_mhc,tiny_shakespeare,12144024,4853144,6,256,8,256,1000,8
43,medium,deepseekv4_dn,tiny_shakespeare,12517864,5226984,6,256,8,256,1000,8
44,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
44,medium,deepseekv4_attnres,tiny_shakespeare,12467596,5176716,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc,tiny_shakespeare,12520942,5230062,6,256,8,256,1000,8
44,medium,deepseekv4_mhc,tiny_shakespeare,12144024,4853144,6,256,8,256,1000,8
44,medium,deepseekv4_dn,tiny_shakespeare,12517864,5226984,6,256,8,256,1000,8
42,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
42,medium,deepseekv4_attnres,wikitext2,12467596,5176716,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc,wikitext2,12520942,5230062,6,256,8,256,1000,8
42,medium,deepseekv4_mhc,wikitext2,12144024,4853144,6,256,8,256,1000,8
42,medium,deepseekv4_dn,wikitext2,12517864,5226984,6,256,8,256,1000,8
43,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
43,medium,deepseekv4_attnres,wikitext2,12467596,5176716,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc,wikitext2,12520942,5230062,6,256,8,256,1000,8
43,medium,deepseekv4_mhc,wikitext2,12144024,4853144,6,256,8,256,1000,8
43,medium,deepseekv4_dn,wikitext2,12517864,5226984,6,256,8,256,1000,8
44,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
44,medium,deepseekv4_attnres,wikitext2,12467596,5176716,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc,wikitext2,12520942,5230062,6,256,8,256,1000,8
44,medium,deepseekv4_mhc,wikitext2,12144024,4853144,6,256,8,256,1000,8
44,medium,deepseekv4_dn,wikitext2,12517864,5226984,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,13439478,6148598,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,13439478,6148598,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,13439478,6148598,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc_dnd,wikitext2,13439478,6148598,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc_dnd,wikitext2,13439478,6148598,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc_dnd,wikitext2,13439478,6148598,6,256,8,256,1000,8
