seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4,tiny_shakespeare,train_eval,2048000,1.5197978168725967,4.571300861798465,2.1926047735559684
42,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.602981612086296,4.9678224838885985,2.3126136223930955
42,medium,deepseekv4,tiny_shakespeare,test,2048000,1.7334952801465988,5.660404070115025,2.5009050440719225
42,medium,deepseekv4_attnres,tiny_shakespeare,train_eval,2048000,1.4634898602962494,4.321012977479513,2.111369563840681
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,2048000,1.5470427423715591,4.697557732940162,2.2319108924627105
42,medium,deepseekv4_attnres,tiny_shakespeare,test,2048000,1.7259435951709747,5.617819476835205,2.490010265607234
42,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.3846148699522018,3.9932876735535188,1.9975770064211587
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.496385708451271,4.465520176556509,2.158828240839767
42,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.658877208828926,5.253409050525887,2.3932539226212173
42,medium,deepseekv4_mhc,tiny_shakespeare,train_eval,2048000,1.4820061922073364,4.401767620605511,2.13808298406426
42,medium,deepseekv4_mhc,tiny_shakespeare,validation,2048000,1.5736121386289597,4.824041868662152,2.270242428682676
42,medium,deepseekv4_mhc,tiny_shakespeare,test,2048000,1.7208416312932968,5.5892305566263705,2.4826496876221134
42,medium,deepseekv4_dn,tiny_shakespeare,train_eval,2048000,1.4049430638551712,4.0752947030924735,2.026904390955202
42,medium,deepseekv4_dn,tiny_shakespeare,validation,2048000,1.500506430864334,4.483959310819036,2.164773186629973
42,medium,deepseekv4_dn,tiny_shakespeare,test,2048000,1.667951226234436,5.301295508393061,2.4063449625330864
43,medium,deepseekv4,tiny_shakespeare,train_eval,2048000,1.5027158111333847,4.493877034024235,2.16796064858757
43,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.5806827396154404,4.858271613687021,2.2804431496619766
43,medium,deepseekv4,tiny_shakespeare,test,2048000,1.6828556209802628,5.380899863066859,2.427847458920342
43,medium,deepseekv4_attnres,tiny_shakespeare,train_eval,2048000,1.4518573731184006,4.271040067545434,2.094587432275994
43,medium,deepseekv4_attnres,tiny_shakespeare,validation,2048000,1.548039585351944,4.702242795138917,2.2333490328870567
43,medium,deepseekv4_attnres,tiny_shakespeare,test,2048000,1.6718810200691223,5.322169495166497,2.4120144566101045
43,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.3927327543497086,4.025836656947541,2.0092886379839516
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.5183565318584442,4.564717060078262,2.190525438813543
43,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.63528972864151,5.130944363235356,2.359224381927765
43,medium,deepseekv4_mhc,tiny_shakespeare,train_eval,2048000,1.5069924592971802,4.513136919512255,2.174130547685105
43,medium,deepseekv4_mhc,tiny_shakespeare,validation,2048000,1.59610053896904,4.933755875972064,2.3026863323308358
43,medium,deepseekv4_mhc,tiny_shakespeare,test,2048000,1.7050173580646515,5.501481161448376,2.459820087109475
43,medium,deepseekv4_dn,tiny_shakespeare,train_eval,2048000,1.4041089564561844,4.071896886896385,2.0257010283471146
43,medium,deepseekv4_dn,tiny_shakespeare,validation,2048000,1.519503876566887,4.569957369688571,2.1921807073346034
43,medium,deepseekv4_dn,tiny_shakespeare,test,2048000,1.6395118087530136,5.152653417819684,2.3653155559668675
44,medium,deepseekv4,tiny_shakespeare,train_eval,2048000,1.4781692922115326,4.384910838015184,2.132547507467927
44,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.6111408025026321,5.008521704045958,2.324384845944412
44,medium,deepseekv4,tiny_shakespeare,test,2048000,1.667559951543808,5.299221651383425,2.405780472477292
44,medium,deepseekv4_attnres,tiny_shakespeare,train_eval,2048000,1.4453718811273575,4.243429900928439,2.085230845142791
44,medium,deepseekv4_attnres,tiny_shakespeare,validation,2048000,1.5797833353281021,4.853904027775787,2.2791455835568795
44,medium,deepseekv4_attnres,tiny_shakespeare,test,2048000,1.659055843949318,5.254347577708558,2.393511638623535
44,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.37897227704525,3.9708186283046714,1.989436465616544
