config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4,tiny_shakespeare,test,2048000,3,1.6946369508902233,0.03451038525321034,5.4468418615217695,0.1894055048576275,2.444844325156519,0.049787961663974166
medium,deepseekv4,tiny_shakespeare,train_eval,2048000,3,1.5002276400725048,0.020925505078381194,4.483362911279294,0.09363877575184763,2.164370976537155,0.030189122404677485
medium,deepseekv4,tiny_shakespeare,validation,2048000,3,1.5982683847347896,0.015766555830626874,4.944871933873859,0.07770983350066749,2.3058138726664947,0.022746331908744255
medium,deepseekv4,wikitext2,test,2048000,3,1.7184673150380452,0.016951583069481534,5.576510944664515,0.09482872251565044,2.4792242733351597,0.02445596482955816
medium,deepseekv4,wikitext2,train_eval,2048000,3,1.503075897693634,0.054223250655930894,4.499918236790084,0.24521918115795674,2.168480143682333,0.07822761482219077
medium,deepseekv4,wikitext2,validation,2048000,3,1.7139267772436142,0.0318619336207661,5.5526021514555906,0.17809061412537028,2.4726736619761653,0.04596705362781272
medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,3,1.6408403764168422,0.016000653439320195,5.1599450139786285,0.08286160745651179,2.3672322739469585,0.0230840633678903
medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,3,1.38543996711572,0.006917244603782968,3.9966476529352435,0.02766248298727199,1.998767370007218,0.009979474486493679
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,3,1.5133562485376995,0.015104454825467569,4.5422937965491945,0.06837745506304511,2.1833115548636646,0.021791122072033525
medium,deepseekv4_attnmhc,wikitext2,test,2048000,3,1.6753189067045848,0.01732319809275753,5.3410307411166045,0.09213344045914373,2.4169742786102244,0.024992091980758455
medium,deepseekv4_attnmhc,wikitext2,train_eval,2048000,3,1.3009555240472157,0.032714492949077245,3.674119848434025,0.12087048510771055,1.876882082960021,0.04719703674283077
medium,deepseekv4_attnmhc,wikitext2,validation,2048000,3,1.6708702246348064,0.039331270537219146,5.31951765328958,0.20724204635386367,2.4105561870496635,0.05674302895590846
medium,deepseekv4_attnres,tiny_shakespeare,test,2048000,3,1.685626819729805,0.03549933903759731,5.398112183236754,0.19327033985375253,2.4318454536136245,0.05121472038437748
medium,deepseekv4_attnres,tiny_shakespeare,train_eval,2048000,3,1.453573038180669,0.009180028444700868,4.278494315317796,0.03932502764361715,2.0970626137531556,0.013243981512389676
medium,deepseekv4_attnres,tiny_shakespeare,validation,2048000,3,1.5582885543505351,0.0186216978532321,4.751234851951622,0.0889449672565094,2.248135169635549,0.026865431145790788
medium,deepseekv4_attnres,wikitext2,test,2048000,3,1.6828639209270477,0.02417121915935765,5.381988795065538,0.12938625329770229,2.4278594332124084,0.03487169801344552
medium,deepseekv4_attnres,wikitext2,train_eval,2048000,3,1.4025645156701405,0.026974442057077174,4.066598090272499,0.10952046926748538,2.0234728712841425,0.03891589378649185
medium,deepseekv4_attnres,wikitext2,validation,2048000,3,1.6879612157742183,0.032647959210495896,5.410363966681575,0.1765292537959098,2.4352132752103706,0.04710104884812753
medium,deepseekv4_dn,tiny_shakespeare,test,2048000,3,1.6500105112791061,0.01561210358722845,5.207458834928574,0.08164678194532951,2.3804619820370294,0.022523504423139214
medium,deepseekv4_dn,tiny_shakespeare,train_eval,2048000,3,1.4028844783703487,0.0028736411736678576,4.066925178741599,0.011678084273680668,2.023934479885002,0.004145787870545124
medium,deepseekv4_dn,tiny_shakespeare,validation,2048000,3,1.5241293559471767,0.02624318962778518,4.592200979886621,0.12090790963003728,2.1988538634982815,0.03786091953311438
medium,deepseekv4_dn,wikitext2,test,2048000,3,1.6763332535823185,0.01244361734905628,5.346193981222192,0.06659215393214882,2.418437671820472,0.017952345040203196
medium,deepseekv4_dn,wikitext2,train_eval,2048000,3,1.333711177110672,0.03187085359710857,3.796391168649818,0.121615364271819,1.9241385011957484,0.04597992243344668
medium,deepseekv4_dn,wikitext2,validation,2048000,3,1.6670875897010167,0.0405321939455354,5.2996274318142005,0.21557619811085962,2.405098998389192,0.05847559520157358
medium,deepseekv4_mhc,tiny_shakespeare,test,2048000,3,1.7181390821933746,0.012000887967742114,5.574413038015456,0.06676786681495059,2.478750733437897,0.017313621557325513
medium,deepseekv4_mhc,tiny_shakespeare,train_eval,2048000,3,1.5095434139172237,0.02889726893526446,4.525925549023552,0.13102118142218522,2.1778107972649745,0.04168994658814068
medium,deepseekv4_mhc,tiny_shakespeare,validation,2048000,3,1.6136232167482376,0.051078682816836286,5.025371710472991,0.2595614913701923,2.3279662126659795,0.07369096239499014
medium,deepseekv4_mhc,wikitext2,test,2048000,3,1.6925813903411229,0.017133849570418355,5.434018898646332,0.09273710105747289,2.441878778146085,0.024718919806580166
medium,deepseekv4_mhc,wikitext2,train_eval,2048000,3,1.4764513621727626,0.036757840897587823,4.379369652380209,0.16260626743635997,2.1300690583203994,0.05303035477673555
medium,deepseekv4_mhc,wikitext2,validation,2048000,3,1.702440395951271,0.029619311658724435,5.488936078900146,0.16391828790725804,2.456102316647942,0.0427316340445864
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,test,2048000,3,1.6548043290774028,0.02804931924317874,5.233431519112908,0.14729802814127851,2.3873779992015574,0.04046661377244551
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,train_eval,2048000,3,1.4028435796499252,0.011723330855511421,4.06693366976162,0.04756173114608719,2.0238754755038686,0.016913191287946903
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,3,1.5310585796833038,0.01247545007104196,4.623308495372824,0.05786881551532016,2.2088506202196023,0.01799826995034995
medium,deepseekv4_attnmhc_dnd,wikitext2,test,2048000,3,1.6659208784500759,0.022731768269124524,5.291450274989476,0.11948485696982741,2.40341578985331,0.032795009352502895
medium,deepseekv4_attnmhc_dnd,wikitext2,train_eval,2048000,3,1.3307841370503108,0.033685427814012736,3.785431522740734,0.1262519515269358,1.919915675016182,0.04859779965749939
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,2048000,3,1.6628603289524715,0.03516312718490175,5.276543428030856,0.1846955203704067,2.399000350270721,0.05072966921180573
