seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048,5.507404148578644,246.51039145016387,7.945504653325713
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,204800,2.381313145160675,10.819100589635841,3.4355086653270064
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,409600,2.065138652920723,7.8863912930386615,2.9793652933168415
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,614400,1.9007532894611359,6.690932753516036,2.742207344658965
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,819200,1.7760582268238068,5.906528276948378,2.5623103961687517
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1024000,1.735647439956665,5.672599282579392,2.5040099543571057
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1228800,1.6784206926822662,5.357088797207844,2.4214492098581246
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1433600,1.608669325709343,4.996158542811816,2.3208192586310616
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1638400,1.5777400881052017,4.8439964271364575,2.2761978009210906
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1843200,1.5961240828037262,4.933872036872222,2.302720298904381
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,1.5455981492996216,4.6907765727719,2.2298267852017237
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048,5.508459746837616,246.77074478028248,7.947027559699103
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,204800,2.3706947565078735,10.704826949359695,3.420189568675378
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,409600,2.047580972313881,7.749133047846175,2.954034914575838
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,614400,1.883036196231842,6.573432826254987,2.7166469821180956
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,819200,1.8253401070833206,6.204904992415344,2.633409120424836
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1024000,1.7338629812002182,5.662485789357242,2.501435524558509
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1228800,1.7096186876296997,5.526853618119664,2.4664584024544656
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1433600,1.6588608473539352,5.25332309770825,2.393230318002386
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1638400,1.596472591161728,4.935591832178495,2.3032230901841784
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1843200,1.5669983327388763,4.792241867571799,2.2607007237236507
43,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,1.4811181426048279,4.3978603677936325,2.136801799306658
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048,5.507571637630463,246.55168269971094,7.9457462889501755
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,204800,2.391114979982376,10.925669056568859,3.449649723815887
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,409600,2.0251490026712418,7.5772398895110324,2.9216724232150306
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,614400,1.867534652352333,6.472320194562597,2.6942829816370053
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,819200,1.7805854976177216,5.933329351995567,2.5688418672918942
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1024000,1.7160479128360748,5.562501475974617,2.4757338137764613
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1228800,1.6175788193941116,5.040870671243145,2.3336729409869092
44,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1433600,1.5891111344099045,4.899392091249899,2.292602753034604
