seed,config,model,dataset,tokens_trained,layer,expert,count
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,0,0,369
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,0,1,230
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,0,2,393
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,0,3,876
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,0,4,417
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,0,5,684
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,0,6,277
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,0,7,850
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,1,0,395
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,1,1,404
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,1,2,918
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,1,3,496
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,1,4,652
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,1,5,310
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,1,6,524
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,1,7,397
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,2,0,773
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,2,1,565
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,2,2,657
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,2,3,609
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,2,4,637
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,2,5,539
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,2,6,207
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,2,7,109
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,3,0,827
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,3,1,377
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,3,2,488
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,3,3,676
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,3,4,310
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,3,5,720
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,3,6,213
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,3,7,485
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,4,0,550
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,4,1,1032
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,4,2,267
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,4,3,538
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,4,4,513
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,4,5,374
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,4,6,534
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,4,7,288
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,5,0,575
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,5,1,951
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,5,2,377
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,5,3,339
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,5,4,1059
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,5,5,216
42,medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,2048,5,6,283
