seed,config,model,dataset,params,active_params,n_layer,n_embd,n_head,seq_len,steps,batch_size
42,medium,deepseekv4_attnmhc,tiny_shakespeare,12520942,5230062,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,12283846,4992966,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,12334022,5043142,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc,tiny_shakespeare,12520942,5230062,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,12283846,4992966,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,12334022,5043142,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc,tiny_shakespeare,12520942,5230062,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,12283846,4992966,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,12334022,5043142,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc,wikitext2,12520942,5230062,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc_swa,wikitext2,12283846,4992966,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc_hca,wikitext2,12334022,5043142,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc,wikitext2,12520942,5230062,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc_swa,wikitext2,12283846,4992966,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc_hca,wikitext2,12334022,5043142,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc,wikitext2,12520942,5230062,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc_swa,wikitext2,12283846,4992966,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc_hca,wikitext2,12334022,5043142,6,256,8,256,1000,8
