seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.3846148699522018,3.9932876735535188,1.9975770064211587
42,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.496385708451271,4.465520176556509,2.158828240839767
42,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.658877208828926,5.253409050525887,2.3932539226212173
42,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,train_eval,2048000,1.4304539859294891,4.180596693246808,2.063708871720325
42,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,validation,2048000,1.525081381201744,4.595517542829546,2.200227345611847
42,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,test,2048000,1.6875597536563873,5.4062719600068485,2.434634087803871
42,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,train_eval,2048000,1.4371186196804047,4.208551891170828,2.0733239057821122
42,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,validation,2048000,1.5286335051059723,4.611870417068999,2.2053519771531
42,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,test,2048000,1.7007417678833008,5.478009296406234,2.453651714357967
43,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.3927327543497086,4.025836656947541,2.0092886379839516
43,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.5183565318584442,4.564717060078262,2.190525438813543
43,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.63528972864151,5.130944363235356,2.359224381927765
43,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,train_eval,2048000,1.4432261735200882,4.234334502631409,2.082135243418586
43,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,validation,2048000,1.54227976500988,4.675236571594128,2.22503936864315
43,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,test,2048000,1.6625817269086838,5.272906491347258,2.398598412483767
43,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,train_eval,2048000,1.4439638555049896,4.2374592473042725,2.0831994935599565
43,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,validation,2048000,1.551516279578209,4.718619507429817,2.2383648424059768
43,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,test,2048000,1.67912557721138,5.360866257402303,2.4224661432726764
44,medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,1.37897227704525,3.9708186283046714,1.989436465616544
44,medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,1.5253265053033829,4.596644153012811,2.200580984937684
44,medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,1.6283541917800903,5.0954816281746425,2.3492185172918925
44,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,train_eval,2048000,1.4225735366344452,4.147781183287948,2.0523397866023885
44,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,validation,2048000,1.5670287907123566,4.792387831770387,2.260744665290946
44,medium,deepseekv4_attnmhc_swa,tiny_shakespeare,test,2048000,1.6588836759328842,5.25344302497821,2.3932632526800264
44,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,train_eval,2048000,1.421410694718361,4.142960772700197,2.0506621603367154
44,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,validation,2048000,1.5595367848873138,4.756617397685663,2.249935985640846
44,medium,deepseekv4_attnmhc_hca,tiny_shakespeare,test,2048000,1.6479061096906662,5.196088389296286,2.3774259723013484
42,medium,deepseekv4_attnmhc,wikitext2,train_eval,2048000,1.2731129974126816,3.5719547587576925,1.8367138078585594
