config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
small,deepseekv4,tiny_shakespeare,validation,512,1,5.5338969230651855,0.0,253.12841346537476,0.0,7.983725647696837,0.0
small,deepseekv4,tiny_shakespeare,validation,10240,1,4.896538257598877,0.0,133.82570677443934,0.0,7.064211461760985,0.0
small,deepseekv4,tiny_shakespeare,validation,20480,1,3.9962912797927856,0.0,54.39603579508597,0.0,5.765429611304861,0.0
small,deepseekv4,tiny_shakespeare,validation,30720,1,3.504378765821457,0.0,33.2607747028272,0.0,5.055749866847202,0.0
small,deepseekv4,tiny_shakespeare,validation,40960,1,3.3095138669013977,0.0,27.371815891377874,0.0,4.7746192435319035,0.0
small,deepseekv4,tiny_shakespeare,validation,51200,1,3.1114413738250732,0.0,22.453384808986257,0.0,4.488861040034177,0.0
small,deepseekv4_attnres,tiny_shakespeare,validation,512,1,5.532603859901428,0.0,252.80131396395663,0.0,7.981860151882928,0.0
small,deepseekv4_attnres,tiny_shakespeare,validation,10240,1,4.790755569934845,0.0,120.39229910832742,0.0,6.911599302856181,0.0
small,deepseekv4_attnres,tiny_shakespeare,validation,20480,1,3.957477241754532,0.0,52.32515558456197,0.0,5.7094327911101965,0.0
small,deepseekv4_attnres,tiny_shakespeare,validation,30720,1,3.4914120733737946,0.0,32.83227657220339,0.0,5.037042883956227,0.0
small,deepseekv4_attnres,tiny_shakespeare,validation,40960,1,3.300920456647873,0.0,27.137606418380624,0.0,4.762221573174819,0.0
small,deepseekv4_attnres,tiny_shakespeare,validation,51200,1,3.1069480776786804,0.0,22.3527214261094,0.0,4.48237858396653,0.0
