seed,config,model,dataset,tokens_trained,layer,expert,count
42,small,deepseekv4,tiny_shakespeare,512,0,0,259
42,small,deepseekv4,tiny_shakespeare,512,0,1,253
42,small,deepseekv4,tiny_shakespeare,512,0,2,194
42,small,deepseekv4,tiny_shakespeare,512,0,3,318
42,small,deepseekv4,tiny_shakespeare,512,1,0,224
42,small,deepseekv4,tiny_shakespeare,512,1,1,245
42,small,deepseekv4,tiny_shakespeare,512,1,2,299
42,small,deepseekv4,tiny_shakespeare,512,1,3,256
42,small,deepseekv4,tiny_shakespeare,10240,0,0,255
42,small,deepseekv4,tiny_shakespeare,10240,0,1,254
42,small,deepseekv4,tiny_shakespeare,10240,0,2,201
42,small,deepseekv4,tiny_shakespeare,10240,0,3,314
42,small,deepseekv4,tiny_shakespeare,10240,1,0,276
42,small,deepseekv4,tiny_shakespeare,10240,1,1,280
42,small,deepseekv4,tiny_shakespeare,10240,1,2,207
42,small,deepseekv4,tiny_shakespeare,10240,1,3,261
42,small,deepseekv4,tiny_shakespeare,20480,0,0,269
42,small,deepseekv4,tiny_shakespeare,20480,0,1,259
42,small,deepseekv4,tiny_shakespeare,20480,0,2,195
42,small,deepseekv4,tiny_shakespeare,20480,0,3,301
42,small,deepseekv4,tiny_shakespeare,20480,1,0,196
42,small,deepseekv4,tiny_shakespeare,20480,1,1,268
42,small,deepseekv4,tiny_shakespeare,20480,1,2,263
42,small,deepseekv4,tiny_shakespeare,20480,1,3,297
42,small,deepseekv4,tiny_shakespeare,30720,0,0,249
42,small,deepseekv4,tiny_shakespeare,30720,0,1,264
42,small,deepseekv4,tiny_shakespeare,30720,0,2,203
42,small,deepseekv4,tiny_shakespeare,30720,0,3,308
42,small,deepseekv4,tiny_shakespeare,30720,1,0,242
42,small,deepseekv4,tiny_shakespeare,30720,1,1,277
42,small,deepseekv4,tiny_shakespeare,30720,1,2,267
42,small,deepseekv4,tiny_shakespeare,30720,1,3,238
42,small,deepseekv4,tiny_shakespeare,40960,0,0,255
42,small,deepseekv4,tiny_shakespeare,40960,0,1,254
42,small,deepseekv4,tiny_shakespeare,40960,0,2,207
42,small,deepseekv4,tiny_shakespeare,40960,0,3,308
42,small,deepseekv4,tiny_shakespeare,40960,1,0,254
42,small,deepseekv4,tiny_shakespeare,40960,1,1,265
42,small,deepseekv4,tiny_shakespeare,40960,1,2,266
42,small,deepseekv4,tiny_shakespeare,40960,1,3,239
42,small,deepseekv4,tiny_shakespeare,51200,0,0,278
42,small,deepseekv4,tiny_shakespeare,51200,0,1,248
42,small,deepseekv4,tiny_shakespeare,51200,0,2,201
42,small,deepseekv4,tiny_shakespeare,51200,0,3,297
42,small,deepseekv4,tiny_shakespeare,51200,1,0,336
42,small,deepseekv4,tiny_shakespeare,51200,1,1,288
42,small,deepseekv4,tiny_shakespeare,51200,1,2,168
42,small,deepseekv4,tiny_shakespeare,51200,1,3,232
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,0,259
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,1,253
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,2,194
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,3,318
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,0,414
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,1,211
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,2,153
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,3,246
42,small,deepseekv4_attnres,tiny_shakespeare,10240,0,0,255
42,small,deepseekv4_attnres,tiny_shakespeare,10240,0,1,254
42,small,deepseekv4_attnres,tiny_shakespeare,10240,0,2,201
42,small,deepseekv4_attnres,tiny_shakespeare,10240,0,3,314
42,small,deepseekv4_attnres,tiny_shakespeare,10240,1,0,385
42,small,deepseekv4_attnres,tiny_shakespeare,10240,1,1,247
42,small,deepseekv4_attnres,tiny_shakespeare,10240,1,2,133
42,small,deepseekv4_attnres,tiny_shakespeare,10240,1,3,259
42,small,deepseekv4_attnres,tiny_shakespeare,20480,0,0,269
42,small,deepseekv4_attnres,tiny_shakespeare,20480,0,1,259
42,small,deepseekv4_attnres,tiny_shakespeare,20480,0,2,195
42,small,deepseekv4_attnres,tiny_shakespeare,20480,0,3,301
42,small,deepseekv4_attnres,tiny_shakespeare,20480,1,0,211
42,small,deepseekv4_attnres,tiny_shakespeare,20480,1,1,276
42,small,deepseekv4_attnres,tiny_shakespeare,20480,1,2,183
42,small,deepseekv4_attnres,tiny_shakespeare,20480,1,3,354
42,small,deepseekv4_attnres,tiny_shakespeare,30720,0,0,249
42,small,deepseekv4_attnres,tiny_shakespeare,30720,0,1,264
42,small,deepseekv4_attnres,tiny_shakespeare,30720,0,2,203
42,small,deepseekv4_attnres,tiny_shakespeare,30720,0,3,308
42,small,deepseekv4_attnres,tiny_shakespeare,30720,1,0,232
42,small,deepseekv4_attnres,tiny_shakespeare,30720,1,1,286
42,small,deepseekv4_attnres,tiny_shakespeare,30720,1,2,216
42,small,deepseekv4_attnres,tiny_shakespeare,30720,1,3,290
42,small,deepseekv4_attnres,tiny_shakespeare,40960,0,0,255
42,small,deepseekv4_attnres,tiny_shakespeare,40960,0,1,254
42,small,deepseekv4_attnres,tiny_shakespeare,40960,0,2,207
42,small,deepseekv4_attnres,tiny_shakespeare,40960,0,3,308
42,small,deepseekv4_attnres,tiny_shakespeare,40960,1,0,165
42,small,deepseekv4_attnres,tiny_shakespeare,40960,1,1,255
42,small,deepseekv4_attnres,tiny_shakespeare,40960,1,2,309
42,small,deepseekv4_attnres,tiny_shakespeare,40960,1,3,295
42,small,deepseekv4_attnres,tiny_shakespeare,51200,0,0,278
42,small,deepseekv4_attnres,tiny_shakespeare,51200,0,1,248
42,small,deepseekv4_attnres,tiny_shakespeare,51200,0,2,201
42,small,deepseekv4_attnres,tiny_shakespeare,51200,0,3,297
42,small,deepseekv4_attnres,tiny_shakespeare,51200,1,0,237
42,small,deepseekv4_attnres,tiny_shakespeare,51200,1,1,242
42,small,deepseekv4_attnres,tiny_shakespeare,51200,1,2,309
