config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4,tiny_shakespeare,validation,2048,3,5.503119210402171,0.0009116786278963376,245.45643750043692,0.22383146963993825,7.9393227942680005,0.0013152742353504396
medium,deepseekv4,tiny_shakespeare,validation,81920,3,3.2536368171374,0.007872616909022401,25.884840712522273,0.20407967592403953,4.694005700937879,0.01135778537346524
medium,deepseekv4,tiny_shakespeare,validation,163840,3,2.71446692943573,0.009552531010777496,15.097020425874584,0.14460661099615957,3.91614797775402,0.013781389117186746
medium,deepseekv4,tiny_shakespeare,validation,245760,3,2.518944134314855,0.03101295112088763,12.41944467188898,0.3826835094857975,3.634068210852384,0.044742230785436245
medium,deepseekv4,tiny_shakespeare,validation,327680,3,2.3869798878828683,0.019935644632815178,10.882029960314616,0.21801027611128174,3.4436840469503083,0.0287610556486872
medium,deepseekv4,tiny_shakespeare,validation,409600,3,2.306499093770981,0.02554170324479292,10.041410304676939,0.2582719748761732,3.327574804398282,0.03684888860712027
medium,deepseekv4_attnres,tiny_shakespeare,validation,2048,3,5.501910368601481,0.0016576097110237806,245.1600554161537,0.4064906894064911,7.937578804196925,0.0023914253098234607
medium,deepseekv4_attnres,tiny_shakespeare,validation,81920,3,3.236771911382675,0.003498487309310643,25.451533302407967,0.08896435536531724,4.669674785040477,0.005047250291755242
medium,deepseekv4_attnres,tiny_shakespeare,validation,163840,3,2.7018649578094482,0.011005992344358645,14.908109869555657,0.16417804734846816,3.8979671757833594,0.015878290575268156
medium,deepseekv4_attnres,tiny_shakespeare,validation,245760,3,2.539605130751928,0.010211245355120429,12.675104870896229,0.12907073543239114,3.663875727951974,0.014731713035132746
medium,deepseekv4_attnres,tiny_shakespeare,validation,327680,3,2.3999790449937186,0.009407506649273967,11.02327116375866,0.10398113293329303,3.462437866449868,0.013572163190037567
medium,deepseekv4_attnres,tiny_shakespeare,validation,409600,3,2.3254134158293405,0.007477522989215404,10.231099787052882,0.07666712009170784,3.3548624030336547,0.01078778533467415
