seed,config,model,dataset,tokens_trained,layer,expert,count
42,medium,deepseekv4,tiny_shakespeare,2048,0,0,369
42,medium,deepseekv4,tiny_shakespeare,2048,0,1,230
42,medium,deepseekv4,tiny_shakespeare,2048,0,2,393
42,medium,deepseekv4,tiny_shakespeare,2048,0,3,876
42,medium,deepseekv4,tiny_shakespeare,2048,0,4,417
42,medium,deepseekv4,tiny_shakespeare,2048,0,5,684
42,medium,deepseekv4,tiny_shakespeare,2048,0,6,277
42,medium,deepseekv4,tiny_shakespeare,2048,0,7,850
42,medium,deepseekv4,tiny_shakespeare,2048,1,0,395
42,medium,deepseekv4,tiny_shakespeare,2048,1,1,404
42,medium,deepseekv4,tiny_shakespeare,2048,1,2,918
42,medium,deepseekv4,tiny_shakespeare,2048,1,3,496
42,medium,deepseekv4,tiny_shakespeare,2048,1,4,652
42,medium,deepseekv4,tiny_shakespeare,2048,1,5,310
42,medium,deepseekv4,tiny_shakespeare,2048,1,6,524
42,medium,deepseekv4,tiny_shakespeare,2048,1,7,397
42,medium,deepseekv4,tiny_shakespeare,2048,2,0,760
42,medium,deepseekv4,tiny_shakespeare,2048,2,1,183
42,medium,deepseekv4,tiny_shakespeare,2048,2,2,863
42,medium,deepseekv4,tiny_shakespeare,2048,2,3,477
42,medium,deepseekv4,tiny_shakespeare,2048,2,4,643
42,medium,deepseekv4,tiny_shakespeare,2048,2,5,356
42,medium,deepseekv4,tiny_shakespeare,2048,2,6,235
42,medium,deepseekv4,tiny_shakespeare,2048,2,7,579
42,medium,deepseekv4,tiny_shakespeare,2048,3,0,388
42,medium,deepseekv4,tiny_shakespeare,2048,3,1,363
42,medium,deepseekv4,tiny_shakespeare,2048,3,2,442
42,medium,deepseekv4,tiny_shakespeare,2048,3,3,334
42,medium,deepseekv4,tiny_shakespeare,2048,3,4,331
42,medium,deepseekv4,tiny_shakespeare,2048,3,5,468
42,medium,deepseekv4,tiny_shakespeare,2048,3,6,915
42,medium,deepseekv4,tiny_shakespeare,2048,3,7,855
42,medium,deepseekv4,tiny_shakespeare,2048,4,0,406
42,medium,deepseekv4,tiny_shakespeare,2048,4,1,753
42,medium,deepseekv4,tiny_shakespeare,2048,4,2,713
42,medium,deepseekv4,tiny_shakespeare,2048,4,3,811
42,medium,deepseekv4,tiny_shakespeare,2048,4,4,350
42,medium,deepseekv4,tiny_shakespeare,2048,4,5,138
42,medium,deepseekv4,tiny_shakespeare,2048,4,6,684
42,medium,deepseekv4,tiny_shakespeare,2048,4,7,241
42,medium,deepseekv4,tiny_shakespeare,2048,5,0,364
42,medium,deepseekv4,tiny_shakespeare,2048,5,1,383
42,medium,deepseekv4,tiny_shakespeare,2048,5,2,750
42,medium,deepseekv4,tiny_shakespeare,2048,5,3,618
42,medium,deepseekv4,tiny_shakespeare,2048,5,4,617
42,medium,deepseekv4,tiny_shakespeare,2048,5,5,415
42,medium,deepseekv4,tiny_shakespeare,2048,5,6,562
42,medium,deepseekv4,tiny_shakespeare,2048,5,7,387
42,medium,deepseekv4,tiny_shakespeare,81920,0,0,345
42,medium,deepseekv4,tiny_shakespeare,81920,0,1,279
42,medium,deepseekv4,tiny_shakespeare,81920,0,2,390
42,medium,deepseekv4,tiny_shakespeare,81920,0,3,864
42,medium,deepseekv4,tiny_shakespeare,81920,0,4,416
42,medium,deepseekv4,tiny_shakespeare,81920,0,5,685
42,medium,deepseekv4,tiny_shakespeare,81920,0,6,290
42,medium,deepseekv4,tiny_shakespeare,81920,0,7,827
42,medium,deepseekv4,tiny_shakespeare,81920,1,0,377
42,medium,deepseekv4,tiny_shakespeare,81920,1,1,395
42,medium,deepseekv4,tiny_shakespeare,81920,1,2,974
42,medium,deepseekv4,tiny_shakespeare,81920,1,3,495
42,medium,deepseekv4,tiny_shakespeare,81920,1,4,648
42,medium,deepseekv4,tiny_shakespeare,81920,1,5,294
42,medium,deepseekv4,tiny_shakespeare,81920,1,6,498
42,medium,deepseekv4,tiny_shakespeare,81920,1,7,415
