seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4,tiny_shakespeare,train_eval,409600,2.327019363641739,10.247352337103461,3.3571792959785283
42,medium,deepseekv4,tiny_shakespeare,validation,409600,2.3039059937000275,10.013217734795594,3.323833751785389
42,medium,deepseekv4,tiny_shakespeare,test,409600,2.3458383679389954,10.44202331649656,3.384329380152648
42,medium,deepseekv4_attnres,tiny_shakespeare,train_eval,409600,2.328198879957199,10.259446387538086,3.35888097831749
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,409600,2.304551273584366,10.019681147908319,3.3247646938745095
42,medium,deepseekv4_attnres,tiny_shakespeare,test,409600,2.3395362198352814,10.376423067416901,3.375237302336472
43,medium,deepseekv4,tiny_shakespeare,train_eval,409600,2.304408758878708,10.018253297745977,3.324559088615403
43,medium,deepseekv4,tiny_shakespeare,validation,409600,2.2824661135673523,9.800820567681816,3.2929025430407246
43,medium,deepseekv4,tiny_shakespeare,test,409600,2.311110258102417,10.085616078148497,3.3342273083119696
43,medium,deepseekv4_attnres,tiny_shakespeare,train_eval,409600,2.3435546457767487,10.418203845309414,3.381034665514407
43,medium,deepseekv4_attnres,tiny_shakespeare,validation,409600,2.312165707349777,10.096266553576786,3.335749999707046
43,medium,deepseekv4_attnres,tiny_shakespeare,test,409600,2.341760039329529,10.399524035986662,3.3784455956926553
44,medium,deepseekv4,tiny_shakespeare,train_eval,409600,2.32126921415329,10.188597615410577,3.3488835838271727
44,medium,deepseekv4,tiny_shakespeare,validation,409600,2.2769372165203094,9.746782363277356,3.2849260306893706
44,medium,deepseekv4,tiny_shakespeare,test,409600,2.299580305814743,9.969997226755117,3.317593103324856
44,medium,deepseekv4_attnres,tiny_shakespeare,train_eval,409600,2.3579891324043274,10.569675849729915,3.4018592277897928
44,medium,deepseekv4_attnres,tiny_shakespeare,validation,409600,2.3135753870010376,10.110509091440408,3.3377837375491612
44,medium,deepseekv4_attnres,tiny_shakespeare,test,409600,2.3343492448329926,10.322740166645398,3.367754079223455
