seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,small,deepseekv4,tiny_shakespeare,validation,512,5.5338969230651855,253.12841346537476,7.983725647696837
42,small,deepseekv4,tiny_shakespeare,validation,10240,4.896538257598877,133.82570677443934,7.064211461760985
42,small,deepseekv4,tiny_shakespeare,validation,20480,3.9962912797927856,54.39603579508597,5.765429611304861
42,small,deepseekv4,tiny_shakespeare,validation,30720,3.504378765821457,33.2607747028272,5.055749866847202
42,small,deepseekv4,tiny_shakespeare,validation,40960,3.3095138669013977,27.371815891377874,4.7746192435319035
42,small,deepseekv4,tiny_shakespeare,validation,51200,3.1114413738250732,22.453384808986257,4.488861040034177
42,small,deepseekv4,tiny_shakespeare,validation,61440,2.9785864651203156,19.660006888890667,4.297191922088067
42,small,deepseekv4,tiny_shakespeare,validation,71680,2.8599079847335815,17.45992028344629,4.125975066973887
42,small,deepseekv4,tiny_shakespeare,validation,81920,2.8025133907794952,16.486030579719504,4.0431721709024915
42,small,deepseekv4,tiny_shakespeare,validation,92160,2.7590369284152985,15.784633893354028,3.9804488942542693
42,small,deepseekv4,tiny_shakespeare,validation,102400,2.6688611209392548,14.423533175345975,3.850352704000423
42,small,deepseekv4_attnres,tiny_shakespeare,validation,512,5.532603859901428,252.80131396395663,7.981860151882928
42,small,deepseekv4_attnres,tiny_shakespeare,validation,10240,4.790755569934845,120.39229910832742,6.911599302856181
42,small,deepseekv4_attnres,tiny_shakespeare,validation,20480,3.957477241754532,52.32515558456197,5.7094327911101965
42,small,deepseekv4_attnres,tiny_shakespeare,validation,30720,3.4914120733737946,32.83227657220339,5.037042883956227
42,small,deepseekv4_attnres,tiny_shakespeare,validation,40960,3.300920456647873,27.137606418380624,4.762221573174819
42,small,deepseekv4_attnres,tiny_shakespeare,validation,51200,3.1069480776786804,22.3527214261094,4.48237858396653
42,small,deepseekv4_attnres,tiny_shakespeare,validation,61440,2.978176862001419,19.651955737752324,4.296600989699702
42,small,deepseekv4_attnres,tiny_shakespeare,validation,71680,2.860993444919586,17.478882621334368,4.127541055001319
42,small,deepseekv4_attnres,tiny_shakespeare,validation,81920,2.806837022304535,16.557464416770937,4.049409852662297
42,small,deepseekv4_attnres,tiny_shakespeare,validation,92160,2.7667806446552277,15.907340107051198,3.9916207152716665
42,small,deepseekv4_attnres,tiny_shakespeare,validation,102400,2.689200460910797,14.719902077145896,3.879696168912322
43,small,deepseekv4,tiny_shakespeare,validation,512,5.535044252872467,253.41900190772753,7.985380894720066
43,small,deepseekv4,tiny_shakespeare,validation,10240,4.853475213050842,128.1850871773716,7.002084620945956
43,small,deepseekv4,tiny_shakespeare,validation,20480,3.940166562795639,51.42716643980435,5.684458760421781
43,small,deepseekv4,tiny_shakespeare,validation,30720,3.5079666674137115,33.38032542921548,5.060926114681545
43,small,deepseekv4,tiny_shakespeare,validation,40960,3.2743008136749268,26.424743200947475,4.723817546267515
43,small,deepseekv4,tiny_shakespeare,validation,51200,3.0962372720241547,22.114583372890458,4.466926157764821
43,small,deepseekv4,tiny_shakespeare,validation,61440,2.9727968275547028,19.546511440252548,4.288839240683613
43,small,deepseekv4,tiny_shakespeare,validation,71680,2.8668622374534607,17.5817641570641,4.136007932885946
43,small,deepseekv4,tiny_shakespeare,validation,81920,2.827450692653656,16.902316654015312,4.079149092649494
43,small,deepseekv4,tiny_shakespeare,validation,92160,2.763302832841873,15.852113461312978,3.9866032934153948
43,small,deepseekv4,tiny_shakespeare,validation,102400,2.693612903356552,14.78499630452093,3.8860619777470204
43,small,deepseekv4_attnres,tiny_shakespeare,validation,512,5.533457517623901,253.01721189623095,7.983091719645756
43,small,deepseekv4_attnres,tiny_shakespeare,validation,10240,4.752458989620209,115.86885481740327,6.856349016353249
43,small,deepseekv4_attnres,tiny_shakespeare,validation,20480,3.8983410000801086,49.32055839354616,5.624117228509695
43,small,deepseekv4_attnres,tiny_shakespeare,validation,30720,3.492306560277939,32.86165775221183,5.0383333557769765
43,small,deepseekv4_attnres,tiny_shakespeare,validation,40960,3.261792689561844,26.096277759034603,4.705772137638746
43,small,deepseekv4_attnres,tiny_shakespeare,validation,51200,3.0872155129909515,21.91596820680583,4.453910510747523
43,small,deepseekv4_attnres,tiny_shakespeare,validation,61440,2.9642431437969208,19.380029793561647,4.276498883544928
43,small,deepseekv4_attnres,tiny_shakespeare,validation,71680,2.863073855638504,17.515283727591324,4.1305424532285135
43,small,deepseekv4_attnres,tiny_shakespeare,validation,81920,2.8192811012268066,16.76479414900272,4.06736286361189
43,small,deepseekv4_attnres,tiny_shakespeare,validation,92160,2.756585031747818,15.745979010368343,3.976911555091323
43,small,deepseekv4_attnres,tiny_shakespeare,validation,102400,2.69586580991745,14.81834306916613,3.889312234870014
44,small,deepseekv4,tiny_shakespeare,validation,512,5.533481001853943,253.02315388041075,7.983125600227977
44,small,deepseekv4,tiny_shakespeare,validation,10240,4.854513466358185,128.31824488183736,7.003582503843645
44,small,deepseekv4,tiny_shakespeare,validation,20480,3.9540851414203644,52.14796410236336,5.704539024779895
44,small,deepseekv4,tiny_shakespeare,validation,30720,3.5341679453849792,34.26649125714632,5.098726568475646
44,small,deepseekv4,tiny_shakespeare,validation,40960,3.2824747264385223,26.641621912986288,4.735610009676213
44,small,deepseekv4,tiny_shakespeare,validation,51200,3.0686727464199066,21.513330073293414,4.427158953371115
44,small,deepseekv4,tiny_shakespeare,validation,61440,3.0036356449127197,20.15869370878774,4.333330249552905
44,small,deepseekv4,tiny_shakespeare,validation,71680,2.8443496227264404,17.19037480335759,4.1035290952618295
44,small,deepseekv4,tiny_shakespeare,validation,81920,2.778739482164383,16.098715435049137,4.008873670840922
44,small,deepseekv4,tiny_shakespeare,validation,92160,2.7134658098220825,15.081454494553336,3.914703667452074
