seed,config,model,dataset,tokens_trained,layer,expert,count
42,small,deepseekv4,tiny_shakespeare,512,0,0,259
42,small,deepseekv4,tiny_shakespeare,512,0,1,253
42,small,deepseekv4,tiny_shakespeare,512,0,2,194
42,small,deepseekv4,tiny_shakespeare,512,0,3,318
42,small,deepseekv4,tiny_shakespeare,512,1,0,224
42,small,deepseekv4,tiny_shakespeare,512,1,1,245
42,small,deepseekv4,tiny_shakespeare,512,1,2,299
42,small,deepseekv4,tiny_shakespeare,512,1,3,256
42,small,deepseekv4,tiny_shakespeare,10240,0,0,255
42,small,deepseekv4,tiny_shakespeare,10240,0,1,254
42,small,deepseekv4,tiny_shakespeare,10240,0,2,201
42,small,deepseekv4,tiny_shakespeare,10240,0,3,314
42,small,deepseekv4,tiny_shakespeare,10240,1,0,276
42,small,deepseekv4,tiny_shakespeare,10240,1,1,280
42,small,deepseekv4,tiny_shakespeare,10240,1,2,207
42,small,deepseekv4,tiny_shakespeare,10240,1,3,261
42,small,deepseekv4,tiny_shakespeare,20480,0,0,269
42,small,deepseekv4,tiny_shakespeare,20480,0,1,259
42,small,deepseekv4,tiny_shakespeare,20480,0,2,195
42,small,deepseekv4,tiny_shakespeare,20480,0,3,301
42,small,deepseekv4,tiny_shakespeare,20480,1,0,196
42,small,deepseekv4,tiny_shakespeare,20480,1,1,268
42,small,deepseekv4,tiny_shakespeare,20480,1,2,263
42,small,deepseekv4,tiny_shakespeare,20480,1,3,297
42,small,deepseekv4,tiny_shakespeare,30720,0,0,249
42,small,deepseekv4,tiny_shakespeare,30720,0,1,264
42,small,deepseekv4,tiny_shakespeare,30720,0,2,203
42,small,deepseekv4,tiny_shakespeare,30720,0,3,308
42,small,deepseekv4,tiny_shakespeare,30720,1,0,242
42,small,deepseekv4,tiny_shakespeare,30720,1,1,277
42,small,deepseekv4,tiny_shakespeare,30720,1,2,267
42,small,deepseekv4,tiny_shakespeare,30720,1,3,238
42,small,deepseekv4,tiny_shakespeare,40960,0,0,255
42,small,deepseekv4,tiny_shakespeare,40960,0,1,254
42,small,deepseekv4,tiny_shakespeare,40960,0,2,207
42,small,deepseekv4,tiny_shakespeare,40960,0,3,308
42,small,deepseekv4,tiny_shakespeare,40960,1,0,254
42,small,deepseekv4,tiny_shakespeare,40960,1,1,265
42,small,deepseekv4,tiny_shakespeare,40960,1,2,266
42,small,deepseekv4,tiny_shakespeare,40960,1,3,239
42,small,deepseekv4,tiny_shakespeare,51200,0,0,278
42,small,deepseekv4,tiny_shakespeare,51200,0,1,248
42,small,deepseekv4,tiny_shakespeare,51200,0,2,201
42,small,deepseekv4,tiny_shakespeare,51200,0,3,297
42,small,deepseekv4,tiny_shakespeare,51200,1,0,336
42,small,deepseekv4,tiny_shakespeare,51200,1,1,288
42,small,deepseekv4,tiny_shakespeare,51200,1,2,168
42,small,deepseekv4,tiny_shakespeare,51200,1,3,232
42,small,deepseekv4,tiny_shakespeare,61440,0,0,266
42,small,deepseekv4,tiny_shakespeare,61440,0,1,242
42,small,deepseekv4,tiny_shakespeare,61440,0,2,196
42,small,deepseekv4,tiny_shakespeare,61440,0,3,320
42,small,deepseekv4,tiny_shakespeare,61440,1,0,252
42,small,deepseekv4,tiny_shakespeare,61440,1,1,277
42,small,deepseekv4,tiny_shakespeare,61440,1,2,227
42,small,deepseekv4,tiny_shakespeare,61440,1,3,268
42,small,deepseekv4,tiny_shakespeare,71680,0,0,249
42,small,deepseekv4,tiny_shakespeare,71680,0,1,267
42,small,deepseekv4,tiny_shakespeare,71680,0,2,187
42,small,deepseekv4,tiny_shakespeare,71680,0,3,321
42,small,deepseekv4,tiny_shakespeare,71680,1,0,278
42,small,deepseekv4,tiny_shakespeare,71680,1,1,243
42,small,deepseekv4,tiny_shakespeare,71680,1,2,243
42,small,deepseekv4,tiny_shakespeare,71680,1,3,260
42,small,deepseekv4,tiny_shakespeare,81920,0,0,254
42,small,deepseekv4,tiny_shakespeare,81920,0,1,255
42,small,deepseekv4,tiny_shakespeare,81920,0,2,214
42,small,deepseekv4,tiny_shakespeare,81920,0,3,301
42,small,deepseekv4,tiny_shakespeare,81920,1,0,243
42,small,deepseekv4,tiny_shakespeare,81920,1,1,282
42,small,deepseekv4,tiny_shakespeare,81920,1,2,223
42,small,deepseekv4,tiny_shakespeare,81920,1,3,276
42,small,deepseekv4,tiny_shakespeare,92160,0,0,264
42,small,deepseekv4,tiny_shakespeare,92160,0,1,254
42,small,deepseekv4,tiny_shakespeare,92160,0,2,206
42,small,deepseekv4,tiny_shakespeare,92160,0,3,300
42,small,deepseekv4,tiny_shakespeare,92160,1,0,158
42,small,deepseekv4,tiny_shakespeare,92160,1,1,237
42,small,deepseekv4,tiny_shakespeare,92160,1,2,320
42,small,deepseekv4,tiny_shakespeare,92160,1,3,309
42,small,deepseekv4,tiny_shakespeare,102400,0,0,257
42,small,deepseekv4,tiny_shakespeare,102400,0,1,239
42,small,deepseekv4,tiny_shakespeare,102400,0,2,196
42,small,deepseekv4,tiny_shakespeare,102400,0,3,332
42,small,deepseekv4,tiny_shakespeare,102400,1,0,310
42,small,deepseekv4,tiny_shakespeare,102400,1,1,268
42,small,deepseekv4,tiny_shakespeare,102400,1,2,209
42,small,deepseekv4,tiny_shakespeare,102400,1,3,237
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,0,259
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,1,253
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,2,194
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,3,318
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,0,414
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,1,211
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,2,153
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,3,246
42,small,deepseekv4_attnres,tiny_shakespeare,10240,0,0,255
42,small,deepseekv4_attnres,tiny_shakespeare,10240,0,1,254
42,small,deepseekv4_attnres,tiny_shakespeare,10240,0,2,201
