seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4,tiny_shakespeare,validation,2048,5.504241645336151,245.73203296723213,7.940942125580974
42,medium,deepseekv4,tiny_shakespeare,validation,204800,2.5971925258636475,13.425991949062412,3.746956777297365
42,medium,deepseekv4,tiny_shakespeare,validation,409600,2.330614387989044,10.284258117091438,3.3623658197762607
42,medium,deepseekv4,tiny_shakespeare,validation,614400,2.1441139578819275,8.534475981046311,3.0933025741370646
42,medium,deepseekv4,tiny_shakespeare,validation,819200,2.0065916925668716,7.437923367156754,2.894899883955217
42,medium,deepseekv4,tiny_shakespeare,validation,1024000,1.9200234562158585,6.821118465041407,2.770008318673107
42,medium,deepseekv4,tiny_shakespeare,validation,1228800,1.8289110958576202,6.227102247975862,2.6385609682205886
42,medium,deepseekv4,tiny_shakespeare,validation,1433600,1.7519696801900864,5.7659485731247075,2.5275579693980608
42,medium,deepseekv4,tiny_shakespeare,validation,1638400,1.6915919482707977,5.428115109007008,2.44045131497798
42,medium,deepseekv4,tiny_shakespeare,validation,1843200,1.685843288898468,5.397000244278816,2.43215775260976
42,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.6110458821058273,5.008046315740785,2.324247904758663
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,2048,5.500430107116699,244.79719864197244,7.935443238293612
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,204800,2.595995157957077,13.409925717703137,3.7452293405564365
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,409600,2.337058901786804,10.350749181593992,3.3716632878732296
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,614400,2.1483090817928314,8.570354369825937,3.0993548585992405
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,819200,2.0178094804286957,7.521830158019996,2.9110837308732154
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1024000,1.9368729144334793,6.937024349123028,2.794316948485334
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1228800,1.8555340319871902,6.3951125335261985,2.6769697461486226
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1433600,1.7666398286819458,5.851159394386671,2.548722519876371
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1638400,1.7322188764810562,5.653183718633313,2.4990635828334717
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1843200,1.7092180699110031,5.524639906087343,2.46588043325841
