seed,config,model,dataset,params,active_params,n_layer,n_embd,n_head,seq_len,steps,batch_size
42,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
42,medium,deepseekv4_attnres,tiny_shakespeare,12192188,4901308,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc,tiny_shakespeare,12245534,4954654,6,256,8,256,1000,8
43,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
43,medium,deepseekv4_attnres,tiny_shakespeare,12192188,4901308,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc,tiny_shakespeare,12245534,4954654,6,256,8,256,1000,8
44,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
44,medium,deepseekv4_attnres,tiny_shakespeare,12192188,4901308,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc,tiny_shakespeare,12245534,4954654,6,256,8,256,1000,8
42,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
42,medium,deepseekv4_attnres,wikitext2,12192188,4901308,6,256,8,256,1000,8
42,medium,deepseekv4_attnmhc,wikitext2,12245534,4954654,6,256,8,256,1000,8
43,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
43,medium,deepseekv4_attnres,wikitext2,12192188,4901308,6,256,8,256,1000,8
43,medium,deepseekv4_attnmhc,wikitext2,12245534,4954654,6,256,8,256,1000,8
44,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
44,medium,deepseekv4_attnres,wikitext2,12192188,4901308,6,256,8,256,1000,8
44,medium,deepseekv4_attnmhc,wikitext2,12245534,4954654,6,256,8,256,1000,8
