config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4,tiny_shakespeare,test,2048000,3,1.6946369508902233,0.03451038525321034,5.4468418615217695,0.1894055048576275,2.444844325156519,0.049787961663974166
medium,deepseekv4,tiny_shakespeare,train_eval,2048000,3,1.5002276400725048,0.020925505078381194,4.483362911279294,0.09363877575184763,2.164370976537155,0.030189122404677485
medium,deepseekv4,tiny_shakespeare,validation,2048000,3,1.5982683847347896,0.015766555830626874,4.944871933873859,0.07770983350066749,2.3058138726664947,0.022746331908744255
medium,deepseekv4,wikitext2,test,2048000,3,1.7184673150380452,0.016951583069481534,5.576510944664515,0.09482872251565044,2.4792242733351597,0.02445596482955816
medium,deepseekv4,wikitext2,train_eval,2048000,3,1.503075897693634,0.054223250655930894,4.499918236790084,0.24521918115795674,2.168480143682333,0.07822761482219077
medium,deepseekv4,wikitext2,validation,2048000,3,1.7139267772436142,0.0318619336207661,5.5526021514555906,0.17809061412537028,2.4726736619761653,0.04596705362781272
medium,deepseekv4_attnmhc,tiny_shakespeare,test,2048000,3,1.693629150589307,0.022427718459119648,5.440096905223538,0.12207012800597901,2.4433903766601808,0.03235635819942572
medium,deepseekv4_attnmhc,tiny_shakespeare,train_eval,2048000,3,1.4911476125319798,0.039075530063222785,4.444464630742868,0.17511686741895388,2.151271265833305,0.05637407344231931
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,3,1.5973720103502274,0.05409994777174434,4.944901028348104,0.27132898392509264,2.304520677787107,0.07804972636264752
medium,deepseekv4_attnmhc,wikitext2,test,2048000,3,1.6711496462424595,0.005772776730289109,5.318337565505884,0.030752412375724063,2.410959307217342,0.008328356360947335
medium,deepseekv4_attnmhc,wikitext2,train_eval,2048000,3,1.4323699474334717,0.010736778393686983,4.188775410922744,0.04506681275936913,2.066473019880655,0.015489896943695979
medium,deepseekv4_attnmhc,wikitext2,validation,2048000,3,1.6761071930329006,0.023770509404999626,5.3457184928724635,0.12749476894196712,2.418111535386886,0.03429359603799721
medium,deepseekv4_attnres,tiny_shakespeare,test,2048000,3,1.7706326345602672,0.03959822405490685,5.877654963744052,0.2344468275461006,2.5544829211162576,0.05712816147202429
medium,deepseekv4_attnres,tiny_shakespeare,train_eval,2048000,3,1.587953155239423,0.04376735709730183,4.8968701981394895,0.21661699499119208,2.290932142227898,0.06314294903709372
medium,deepseekv4_attnres,tiny_shakespeare,validation,2048000,3,1.6715078900257747,0.06395038036873678,5.327516484245461,0.3459245123362262,2.41147614374696,0.09226089662093952
medium,deepseekv4_attnres,wikitext2,test,2048000,3,1.7522778411706288,0.03622189058551126,5.770260305002359,0.21044510714229875,2.528002551716485,0.05225714191933976
medium,deepseekv4_attnres,wikitext2,train_eval,2048000,3,1.5637949258089066,0.062024122053658585,4.783115596919335,0.30178014062102804,2.2560791844318344,0.08948189330230501
medium,deepseekv4_attnres,wikitext2,validation,2048000,3,1.7500586311022441,0.05561490095411982,5.760938051458463,0.32532940787840553,2.5248009083561356,0.08023534180603953
