config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
small,deepseekv4,tiny_shakespeare,validation,512,3,5.534150838851929,0.0008097191022165239,253.19275026756375,0.20505053673755197,7.984091970743175,0.0011681777332810373
small,deepseekv4,tiny_shakespeare,validation,20480,3,3.965538442134857,0.027896730505825952,52.76240681692216,1.4811754701551982,5.721062644922505,0.040246474757770906
small,deepseekv4,tiny_shakespeare,validation,40960,3,3.28927348057429,0.01844677308033096,26.826418797284045,0.4966217692058068,4.745418538552109,0.026613068043397598
small,deepseekv4,tiny_shakespeare,validation,61440,3,2.9851049184799194,0.017619893811599847,19.790631580388265,0.35005992195192803,4.306596062424234,0.02542013342298539
small,deepseekv4,tiny_shakespeare,validation,81920,3,2.8031283219655356,0.02240024792719012,16.49893119545173,0.3696589232905682,4.04405932907508,0.03231672659924037
small,deepseekv4,tiny_shakespeare,validation,102400,3,2.693321575721105,0.021202448666638934,14.782904519166458,0.313400540520868,3.885641680812087,0.030588667546062796
small,deepseekv4,wikitext2,validation,512,3,5.533436298370361,0.00030200737134437026,253.01185080926766,0.07641400617533327,7.983061106733903,0.0004357045369506801
small,deepseekv4,wikitext2,validation,20480,3,3.9269864658514657,0.012775557967506559,50.75655381196881,0.6462572301961717,5.6654438999219865,0.01843123412431107
small,deepseekv4,wikitext2,validation,40960,3,3.2117478450139365,0.015064329863034801,24.824315220266147,0.37496563707626324,4.633572688587421,0.021733233987715456
small,deepseekv4,wikitext2,validation,61440,3,2.936455249786377,0.022468949914534873,18.85209084505352,0.4246933786367068,4.2364094266591685,0.03241584261568205
small,deepseekv4,wikitext2,validation,81920,3,2.771674553553263,0.014499331651642314,15.986503329815493,0.2327538288215345,3.9986811333694248,0.020918113870028898
small,deepseekv4,wikitext2,validation,102400,3,2.6831852197647095,0.03841969014178384,14.638874263634031,0.5681620095717594,3.87101801034111,0.05542789644004212
small,deepseekv4_attnmhc,tiny_shakespeare,validation,512,3,5.533874491850535,0.0009267459616302098,253.12280802919474,0.23464075607182883,7.9836932862947,0.0013370118030076815
small,deepseekv4_attnmhc,tiny_shakespeare,validation,20480,3,3.959944725036621,0.030839990832040445,52.47115607534451,1.6323117951342772,5.712992617004743,0.04449270183444567
small,deepseekv4_attnmhc,tiny_shakespeare,validation,40960,3,3.294023166100184,0.014112018867261253,26.952868388072215,0.3818711780981831,4.752270886306098,0.020359339636729524
small,deepseekv4_attnmhc,tiny_shakespeare,validation,61440,3,2.987816641728083,0.020089939414964248,19.844991971012565,0.4009215652309711,4.310508252106622,0.028983655965728505
small,deepseekv4_attnmhc,tiny_shakespeare,validation,81920,3,2.801710138718287,0.02470520790877281,16.476152580615278,0.4083932415607031,4.042013323137202,0.035642080934117464
small,deepseekv4_attnmhc,tiny_shakespeare,validation,102400,3,2.6951689024766288,0.026584332381624613,14.811498425592292,0.3920499301391742,3.8883068099611826,0.0383530844923138
small,deepseekv4_attnmhc,wikitext2,validation,512,3,5.533279319604238,0.0002817034336302231,252.97213543905687,0.07126719245850914,7.982834634246491,0.0004064121466997195
small,deepseekv4_attnmhc,wikitext2,validation,20480,3,3.9255577425161996,0.013515775475624549,50.684418118734186,0.6832456079774928,5.663382687851396,0.01949914225245196
small,deepseekv4_attnmhc,wikitext2,validation,40960,3,3.213044613599777,0.013850636282421992,24.85623538835434,0.34493474685666525,4.635443530195395,0.01998224427780697
small,deepseekv4_attnmhc,wikitext2,validation,61440,3,2.941107213497162,0.02414792354541732,18.940478163110033,0.45647626154474424,4.243120791635113,0.034838089546739524
small,deepseekv4_attnmhc,wikitext2,validation,81920,3,2.7724773784478507,0.015015811093538457,15.9994244406083,0.2412609418343874,3.9998393648635484,0.02166323619957362
small,deepseekv4_attnmhc,wikitext2,validation,102400,3,2.6897606750329337,0.030335764508151043,14.732690898352722,0.4501218972496613,3.880504387048164,0.04376525701748484
small,deepseekv4_attnres,tiny_shakespeare,validation,512,3,5.532348056634267,0.000827764526079272,252.7367125539093,0.20919063041132982,7.981491105777952,0.0011942117767982975
small,deepseekv4_attnres,tiny_shakespeare,validation,20480,3,3.9260183374087014,0.03561708987999102,50.72623025352746,1.8191213413973593,5.664047185818667,0.05138459894075973
small,deepseekv4_attnres,tiny_shakespeare,validation,40960,3,3.2890007495880127,0.021225819747805647,26.820067524929858,0.5662424488222672,4.745025070910709,0.030622384888962063
small,deepseekv4_attnres,tiny_shakespeare,validation,61440,3,2.9892399509747825,0.03077141928745272,19.876880181415,0.6164984734875054,4.312561653298487,0.04439377400712289
small,deepseekv4_attnres,tiny_shakespeare,validation,81920,3,2.8092936178048453,0.012708191169951725,16.599084351343745,0.21143612480052185,4.052953970808065,0.018334044379558472
small,deepseekv4_attnres,tiny_shakespeare,validation,102400,3,2.702329397201538,0.022956433311149337,14.917060998721508,0.3439833592613396,3.898637220191121,0.033119132494493254
small,deepseekv4_attnres,wikitext2,validation,512,3,5.532256166140239,0.0010615166970483162,252.71352672676062,0.2682718848765173,7.981358535817911,0.0015314448746523953
