seed,config,model,dataset,tokens_trained,layer,expert,count
42,small,deepseekv4,tiny_shakespeare,512,0,0,259
42,small,deepseekv4,tiny_shakespeare,512,0,1,253
42,small,deepseekv4,tiny_shakespeare,512,0,2,194
42,small,deepseekv4,tiny_shakespeare,512,0,3,318
42,small,deepseekv4,tiny_shakespeare,512,1,0,224
42,small,deepseekv4,tiny_shakespeare,512,1,1,245
42,small,deepseekv4,tiny_shakespeare,512,1,2,294
42,small,deepseekv4,tiny_shakespeare,512,1,3,261
42,small,deepseekv4,tiny_shakespeare,20480,0,0,269
42,small,deepseekv4,tiny_shakespeare,20480,0,1,259
42,small,deepseekv4,tiny_shakespeare,20480,0,2,195
42,small,deepseekv4,tiny_shakespeare,20480,0,3,301
42,small,deepseekv4,tiny_shakespeare,20480,1,0,197
42,small,deepseekv4,tiny_shakespeare,20480,1,1,268
42,small,deepseekv4,tiny_shakespeare,20480,1,2,262
42,small,deepseekv4,tiny_shakespeare,20480,1,3,297
42,small,deepseekv4,tiny_shakespeare,40960,0,0,255
42,small,deepseekv4,tiny_shakespeare,40960,0,1,254
42,small,deepseekv4,tiny_shakespeare,40960,0,2,207
42,small,deepseekv4,tiny_shakespeare,40960,0,3,308
42,small,deepseekv4,tiny_shakespeare,40960,1,0,326
42,small,deepseekv4,tiny_shakespeare,40960,1,1,255
42,small,deepseekv4,tiny_shakespeare,40960,1,2,193
42,small,deepseekv4,tiny_shakespeare,40960,1,3,250
42,small,deepseekv4,tiny_shakespeare,61440,0,0,266
42,small,deepseekv4,tiny_shakespeare,61440,0,1,242
42,small,deepseekv4,tiny_shakespeare,61440,0,2,196
42,small,deepseekv4,tiny_shakespeare,61440,0,3,320
42,small,deepseekv4,tiny_shakespeare,61440,1,0,258
42,small,deepseekv4,tiny_shakespeare,61440,1,1,277
42,small,deepseekv4,tiny_shakespeare,61440,1,2,234
42,small,deepseekv4,tiny_shakespeare,61440,1,3,255
42,small,deepseekv4,tiny_shakespeare,81920,0,0,254
42,small,deepseekv4,tiny_shakespeare,81920,0,1,255
42,small,deepseekv4,tiny_shakespeare,81920,0,2,214
42,small,deepseekv4,tiny_shakespeare,81920,0,3,301
42,small,deepseekv4,tiny_shakespeare,81920,1,0,255
42,small,deepseekv4,tiny_shakespeare,81920,1,1,278
42,small,deepseekv4,tiny_shakespeare,81920,1,2,236
42,small,deepseekv4,tiny_shakespeare,81920,1,3,255
42,small,deepseekv4,tiny_shakespeare,102400,0,0,257
42,small,deepseekv4,tiny_shakespeare,102400,0,1,239
42,small,deepseekv4,tiny_shakespeare,102400,0,2,196
42,small,deepseekv4,tiny_shakespeare,102400,0,3,332
42,small,deepseekv4,tiny_shakespeare,102400,1,0,309
42,small,deepseekv4,tiny_shakespeare,102400,1,1,269
42,small,deepseekv4,tiny_shakespeare,102400,1,2,201
42,small,deepseekv4,tiny_shakespeare,102400,1,3,245
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,0,259
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,1,253
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,2,194
42,small,deepseekv4_attnres,tiny_shakespeare,512,0,3,318
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,0,412
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,1,178
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,2,188
42,small,deepseekv4_attnres,tiny_shakespeare,512,1,3,246
42,small,deepseekv4_attnres,tiny_shakespeare,20480,0,0,269
42,small,deepseekv4_attnres,tiny_shakespeare,20480,0,1,259
42,small,deepseekv4_attnres,tiny_shakespeare,20480,0,2,195
42,small,deepseekv4_attnres,tiny_shakespeare,20480,0,3,301
42,small,deepseekv4_attnres,tiny_shakespeare,20480,1,0,213
42,small,deepseekv4_attnres,tiny_shakespeare,20480,1,1,338
42,small,deepseekv4_attnres,tiny_shakespeare,20480,1,2,212
42,small,deepseekv4_attnres,tiny_shakespeare,20480,1,3,261
42,small,deepseekv4_attnres,tiny_shakespeare,40960,0,0,255
42,small,deepseekv4_attnres,tiny_shakespeare,40960,0,1,254
42,small,deepseekv4_attnres,tiny_shakespeare,40960,0,2,207
42,small,deepseekv4_attnres,tiny_shakespeare,40960,0,3,308
42,small,deepseekv4_attnres,tiny_shakespeare,40960,1,0,240
42,small,deepseekv4_attnres,tiny_shakespeare,40960,1,1,220
42,small,deepseekv4_attnres,tiny_shakespeare,40960,1,2,318
42,small,deepseekv4_attnres,tiny_shakespeare,40960,1,3,246
42,small,deepseekv4_attnres,tiny_shakespeare,61440,0,0,266
42,small,deepseekv4_attnres,tiny_shakespeare,61440,0,1,242
42,small,deepseekv4_attnres,tiny_shakespeare,61440,0,2,196
42,small,deepseekv4_attnres,tiny_shakespeare,61440,0,3,320
42,small,deepseekv4_attnres,tiny_shakespeare,61440,1,0,273
42,small,deepseekv4_attnres,tiny_shakespeare,61440,1,1,280
42,small,deepseekv4_attnres,tiny_shakespeare,61440,1,2,257
42,small,deepseekv4_attnres,tiny_shakespeare,61440,1,3,214
42,small,deepseekv4_attnres,tiny_shakespeare,81920,0,0,254
42,small,deepseekv4_attnres,tiny_shakespeare,81920,0,1,255
42,small,deepseekv4_attnres,tiny_shakespeare,81920,0,2,214
42,small,deepseekv4_attnres,tiny_shakespeare,81920,0,3,301
42,small,deepseekv4_attnres,tiny_shakespeare,81920,1,0,251
42,small,deepseekv4_attnres,tiny_shakespeare,81920,1,1,218
42,small,deepseekv4_attnres,tiny_shakespeare,81920,1,2,288
42,small,deepseekv4_attnres,tiny_shakespeare,81920,1,3,267
42,small,deepseekv4_attnres,tiny_shakespeare,102400,0,0,257
42,small,deepseekv4_attnres,tiny_shakespeare,102400,0,1,239
42,small,deepseekv4_attnres,tiny_shakespeare,102400,0,2,196
42,small,deepseekv4_attnres,tiny_shakespeare,102400,0,3,332
42,small,deepseekv4_attnres,tiny_shakespeare,102400,1,0,233
42,small,deepseekv4_attnres,tiny_shakespeare,102400,1,1,254
42,small,deepseekv4_attnres,tiny_shakespeare,102400,1,2,276
