seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,small,deepseekv4,tiny_shakespeare,train_eval,102400,2.6791670620441437,14.572949876144628,3.86522103412414
42,small,deepseekv4,tiny_shakespeare,validation,102400,2.711400032043457,15.050331718426678,3.911723380095272
42,small,deepseekv4,tiny_shakespeare,test,102400,2.653432309627533,14.202703156546546,3.8280936344341905
42,small,deepseekv4_attnres,tiny_shakespeare,train_eval,102400,2.685528337955475,14.665947910623698,3.874398415335144
42,small,deepseekv4_attnres,tiny_shakespeare,validation,102400,2.7165496051311493,15.1280343977072,3.919152643651581
42,small,deepseekv4_attnres,tiny_shakespeare,test,102400,2.662264496088028,14.328699672373585,3.840835786040953
42,small,deepseekv4_attnmhc,tiny_shakespeare,train_eval,102400,2.67510187625885,14.51382837881244,3.859356210751405
42,small,deepseekv4_attnmhc,tiny_shakespeare,validation,102400,2.7062779664993286,14.973440023163445,3.9043338015356497
42,small,deepseekv4_attnmhc,tiny_shakespeare,test,102400,2.6508735716342926,14.166408614287407,3.824402155820408
43,small,deepseekv4,tiny_shakespeare,train_eval,102400,2.686497747898102,14.680172119777255,3.87579697825196
43,small,deepseekv4,tiny_shakespeare,validation,102400,2.6940685510635376,14.791734589210279,3.886719338434281
43,small,deepseekv4,tiny_shakespeare,test,102400,2.718335598707199,15.155077111828271,3.9217292877268077
43,small,deepseekv4_attnres,tiny_shakespeare,train_eval,102400,2.688057154417038,14.703082334406306,3.8780467263035594
43,small,deepseekv4_attnres,tiny_shakespeare,validation,102400,2.6976577043533325,14.844919779879561,3.891897392086458
43,small,deepseekv4_attnres,tiny_shakespeare,test,102400,2.7183998227119446,15.156050462828535,3.92182194337996
43,small,deepseekv4_attnmhc,tiny_shakespeare,train_eval,102400,2.6907192170619965,14.742275004180403,3.8818872708799765
43,small,deepseekv4_attnmhc,tiny_shakespeare,validation,102400,2.700811058282852,14.891804949917667,3.896446720162744
43,small,deepseekv4_attnmhc,tiny_shakespeare,test,102400,2.7235707342624664,15.23462403263985,3.929281991830773
44,small,deepseekv4,tiny_shakespeare,train_eval,102400,2.686523288488388,14.680547064826836,3.8758338255349076
44,small,deepseekv4,tiny_shakespeare,validation,102400,2.6481731832027435,14.128205413304899,3.8205063188217387
44,small,deepseekv4,tiny_shakespeare,test,102400,2.6754252910614014,14.518523124886102,3.8598227996831955
44,small,deepseekv4_attnres,tiny_shakespeare,train_eval,102400,2.6990568935871124,14.865705169767754,3.893915995455298
44,small,deepseekv4_attnres,tiny_shakespeare,validation,102400,2.659602701663971,14.290610334963691,3.8369956284255005
44,small,deepseekv4_attnres,tiny_shakespeare,test,102400,2.68618381023407,14.6755641841745,3.875344061940913
44,small,deepseekv4_attnmhc,tiny_shakespeare,train_eval,102400,2.6903484761714935,14.736810453046182,3.8813524048357935
44,small,deepseekv4_attnmhc,tiny_shakespeare,validation,102400,2.651874929666519,14.180601366168233,3.825846810087656
44,small,deepseekv4_attnmhc,tiny_shakespeare,test,102400,2.680377632379532,14.590602139461195,3.866967517943652
42,small,deepseekv4,wikitext2,train_eval,102400,2.6389095783233643,13.997931634719063,3.8071417620015033
42,small,deepseekv4,wikitext2,validation,102400,2.682732045650482,14.624994918289602,3.870364218293855
42,small,deepseekv4,wikitext2,test,102400,2.6705941557884216,14.448551333395198,3.8528529447830038
42,small,deepseekv4_attnres,wikitext2,train_eval,102400,2.6716903746128082,14.464398791906165,3.8544344542446756
42,small,deepseekv4_attnres,wikitext2,validation,102400,2.7125141322612762,15.067108640123166,3.913330686954573
42,small,deepseekv4_attnres,wikitext2,test,102400,2.6992085576057434,14.867959933332514,3.894134800382858
42,small,deepseekv4_attnmhc,wikitext2,train_eval,102400,2.651552140712738,14.176024763367412,3.825381124064782
42,small,deepseekv4_attnmhc,wikitext2,validation,102400,2.693632572889328,14.785287121350441,3.886090354884413
